阵法ID	阵法名	阵法描述	阵法品质	等级上限	阵首加成	阵中加成	阵尾加成	缘分弟子	缘分名	阵法缘分	缘分描述	阵法图标	阵法身价	升级经验	升级经验成长	携带经验	携带经验成长	阵法残片数量
1409	潜脑操砂阵	将尺寸极小的针穿过大脑的记忆中枢，从而封住对象记忆的术，术解除后，记忆也能恢复。对部下的大脑施以此术，然后让其潜入敌方阵营，能故更为安全地进行长期的间谍活动。	4	6	baseHpPerAdd:0.15;0.06	baseShenFaPerAdd:0.06;0.03	baseShenFaPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa9	334;267	400	280	136	95	6
1410	砂铁时雨阵	将砂铁变形为细小的颗粒状，如散弹一样进行大范围攻击。速度快到用双眼难以捕捉，因此施术者做好发射准备之后，敌人就很难做出回避了。	4	6	baseHpPerAdd:0.15;0.06	baseNeiLiPerAdd:0.12;0.05	baseWuLiPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa10	334;267	400	280	136	95	6
1411	砂铁结袭阵	集结大量的砂铁并进行高密度压缩！瞬间成为增加了硬度和重量的巨型钢铁武器！！因为本来就是砂铁，所以施术者可以随意改变其形状。	4	6	baseFangYuPerAdd:0.16;0.06	baseNeiLiPerAdd:0.12;0.05	baseBaoJiAdd:18;5	-1	-1	-1	-1	zhengfa12	334;267	400	280	136	95	6
1412	砂铁散击阵	砂铁不做任何变化，像雾一般击向敌人，使沾染者瘫痪，丧失战斗力。	4	6	baseHpPerAdd:0.15;0.06	baseNeiLiPerAdd:0.12;0.05	baseShenFaPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa15	334;267	400	280	136	95	6
1413	砂铁天翼阵	三代风影生前用以飞空作战的术，也可扩大砂铁翼的体型，像巨鸟的翅膀一般打开并交叉包围施术者。	4	6	baseHpPerAdd:0.15;0.06	wuXuPerAdd:0.07;0.03	wuXuPerAdd:0.07;0.03	-1	-1	-1	-1	zhengfa16	334;267	400	280	136	95	6
1414	五封结界阵	连接着施术者查克拉的禁符，分别贴在以据点为中心的五个地方，禁符的范围内都转变成结界空间的忍术。	4	6	baseFangYuPerAdd:0.16;0.06	jinGangPerAdd:0.09;0.04	baseWuLiPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa17	334;267	400	280	136	95	6
1415	幻龙九封尽阵	集结最强的十名忍者作为施术者，以所有人的意识启动封印像。利用从其口腔中放出来的吸引查克拉将尾兽的查克拉抽出并且封印。	4	6	baseHpPerAdd:0.15;0.06	baseHpPerAdd:0.08;0.03	baseHpPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa18	334;267	400	280	136	95	6
1301	砂铁界法阵	结合出两块磁场相反的高密度砂铁块，一口气加大磁力，砂铁块就会因为磁场的斥力增大而增大范围扩散，进行结界形的大范围射击。	3	6	baseFangYuPerAdd:0.11;0.04	baseFangYuPerAdd:0.06;0.02	baseFangYuPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa31	223;178	320	224	108	76	5
1302	天门阵	布阵时若开了“死”、“灭”俩门，即便是上忍高手，也会迷失其中。	3	6	baseShanBiAdd:23;6	baseBaoJiAdd:12;3	baseBaoJiAdd:12;3	-1	-1	-1	-1	zhengfa32	223;178	320	224	108	76	5
1303	术阵	集布阵者近5成功力，呈现千变万化，可对敌人造成致命一击。	3	6	baseFangYuPerAdd:0.11;0.04	baseBaoJiAdd:12;3	baseNeiLiPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa33	223;178	320	224	108	76	5
1304	无忍阵	忍者为对付外来入侵者所自创阵法，以无忍为有忍，让敌人防无可防。	3	6	baseHpPerAdd:0.1;0.04	baseNeiLiPerAdd:0.08;0.03	baseNeiLiPerAdd:0.08;0.03	-1	-1	-1	-1	zhengfa34	223;178	320	224	108	76	5
1305	风沙阵	据传手鞠在于佐助战斗中使用的一招，是利用她的那把大扇子挥动所产生的真空气流来攻击对方。	3	6	baseShanBiAdd:23;6	baseNeiLiPerAdd:0.08;0.03	baseShenFaPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa36	223;178	320	224	108	76	5
1306	幻影阵	对使用忍者的自己不会造成伤害，对敌人产生一种幻念，虚无缥缈。	3	6	baseWuLiPerAdd:0.11;0.04	baseBaoJiAdd:12;3	baseHuiXinAdd:12;3	-1	-1	-1	-1	zhengfa37	223;178	320	224	108	76	5
1307	浮影阵	只有中忍才可使用浮影阵，且一般在执行任务遇险时使用。	3	6	baseFangYuPerAdd:0.11;0.04	baseShenFaPerAdd:0.04;0.02	baseShenFaPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa38	223;178	320	224	108	76	5
1308	魅影阵	犹如鬼魅一般四处缠绕，据说是晓的忍者组织所创，以捕获尾兽为目标。	3	6	baseHpPerAdd:0.1;0.04	baseNeiLiPerAdd:0.08;0.03	baseShenFaPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa39	223;178	320	224	108	76	5
1309	魔尊阵	特别上忍独有的阵法，一般在战斗时较多使用。	3	6	baseFangYuPerAdd:0.11;0.04	baseBaoJiAdd:12;3	baseBaoJiAdd:12;3	-1	-1	-1	-1	zhengfa40	223;178	320	224	108	76	5
1310	冷渊阵	使用此阵时仿佛万千沟壑在眼前晃动，使之产生一阵乍寒。	3	6	baseHpPerAdd:0.1;0.04	baseHuiXinAdd:12;3	baseHuiXinAdd:12;3	-1	-1	-1	-1	zhengfa41	223;178	320	224	108	76	5
1311	赤炎阵	使用此阵会出现一种带着火焰的刀，横扫忍者群，威力无穷。	3	6	baseFangYuPerAdd:0.11;0.04	baseNeiLiPerAdd:0.08;0.03	wuXuPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa42	223;178	320	224	108	76	5
1312	弑魂阵	据言忍者死了之后，会有专门的忍者把他们的躯体收集，集中魂魄，炼制忍术。	3	6	baseShenFaPerAdd:0.08;0.03	baseNeiLiPerAdd:0.08;0.03	baseShenFaPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa43	223;178	320	224	108	76	5
1313	风影阵	五影阵之一，只有所属风影忍者村的首领才会得此阵。	3	6	baseShanBiAdd:23;6	jinGangPerAdd:0.06;0.03	wuXuPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa44	223;178	320	224	108	76	5
1314	火影阵	五影阵之一，只有所属火影忍者村的首领才会得此阵。	3	6	baseHpPerAdd:0.1;0.04	baseNeiLiPerAdd:0.08;0.03	baseWuLiPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa45	223;178	320	224	108	76	5
1315	水影阵	五影阵之一，只有所属水影忍者村的首领才会得此阵。	3	6	baseFangYuPerAdd:0.11;0.04	baseNeiLiPerAdd:0.08;0.03	baseWuLiPerAdd:0.06;0.02	-1	-1	-1	-1	zhengfa46	223;178	320	224	108	76	5
1316	雷影阵	五影阵之一，只有所属雷影忍者村的首领才会得此阵。	3	6	baseShenFaPerAdd:0.08;0.03	baseShenFaPerAdd:0.04;0.02	baseShenFaPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa47	223;178	320	224	108	76	5
1317	土影阵	五影阵之一，只有所属土影忍者村的首领才会得此阵。	3	6	baseHpPerAdd:0.1;0.04	jinGangPerAdd:0.06;0.03	jinGangPerAdd:0.06;0.03	-1	-1	-1	-1	zhengfa48	223;178	320	224	108	76	5
1318	绝忍阵	村子内的精英人物，即上忍使得此阵，多是在执行参加S级任务时使用。	3	6	baseHpPerAdd:0.1;0.04	wuXuPerAdd:0.05;0.02	wuXuPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa49	223;178	320	224	108	76	5
1201	轮回天生阵	使用此阵，若布阵之人如有不幸遇难者，则可复活死去不久的人复活，人数不限。	2	6	baseHpPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseShenFaPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa50	148;119	178	124	60	42	4
1202	外道魔像阵	召唤外道魔像，该魔像如同幻影一般，可为我方抵挡伤害或为我方战斗，毁灭敌人。	2	6	baseShenFaPerAdd:0.05;0.02	baseWuLiPerAdd:0.04;0.02	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa51	148;119	178	124	60	42	4
1203	火光阵	根据忍者不同的忍术，使用此阵，火光冲天，尤如白昼，可对敌人造成一定的伤害。	2	6	baseHpPerAdd:0.07;0.03	baseMingZhongAdd:9;2	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa52	148;119	178	124	60	42	4
1204	水月阵	此阵若是在午夜使用，且月圆时，可对敌人造成大量伤害，忍术效果加以月之光，严重者使人俱碎身躯。	2	6	baseShenFaPerAdd:0.05;0.02	baseHuiXinAdd:8;2	baseMingZhongAdd:8;2	-1	-1	-1	-1	zhengfa53	148;119	178	124	60	42	4
1205	雪影阵	可同时召唤六个雪人，对敌人重重包围，用最尖锐的忍术去刺向敌人。	2	6	baseFangYuPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseFangYuPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa54	148;119	178	124	60	42	4
1206	暗影阵	以最黑暗的光线使用此阵，可使敌人产生恐惧，在配以自己要害忍术的使用，可对敌人造成致命打击。	2	6	baseKangBaoAdd:17;4	baseShenFaPerAdd:0.03;0.01	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa55	148;119	178	124	60	42	4
1207	骷髅阵	此阵召唤出八个骷髅，施以忍术，可进行强化攻击。只有忍界大战时才会出现此阵。	2	6	baseFangYuPerAdd:0.07;0.03	baseBaoJiAdd:8;2	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa56	148;119	178	124	60	42	4
1208	裂甲阵	查克拉的集结，当其他忍者靠近时，可发出致命一击打击敌人。	2	6	baseShanBiAdd:15;4	baseHpPerAdd:0.04;0.02	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa57	148;119	178	124	60	42	4
1209	泉沼阵	制造巨大沼泽，让其对手陷入不能逃出，直到将其埋没。	2	6	baseShenFaPerAdd:0.05;0.02	baseShenFaPerAdd:0.03;0.01	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa58	148;119	178	124	60	42	4
1210	指刻封印阵	将查克拉集中到手指头从而产生强大的热量，再把文字刻在深作仙人的的后背上。	2	6	baseFangYuPerAdd:0.07;0.03	baseBaoJiAdd:8;2	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa59	148;119	178	124	60	42	4
1211	封火法印阵	把别人施出的火遁忍术，封印到一个卷轴内。自来也曾封印了鼬的天照。	2	6	baseKangBaoAdd:17;4	baseHpPerAdd:0.04;0.02	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa60	148;119	178	124	60	42	4
1212	秽土转生阵	可将早已过世的人的灵魂召唤回人世并以实体的形式复生，，即可其他活人为容器转生并操控死者，被转生者的肉体摧毁后可立即恢复。	2	6	baseFangYuPerAdd:0.07;0.03	baseBaoJiAdd:8;2	baseShenFaPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa61	148;119	178	124	60	42	4
1213	风魔阵	自身的情感意志由施术者决定，召唤出六个不同的风眼，魔之躯体由风眼内产生，渐渐膨胀。	2	6	baseShanBiAdd:15;4	baseHpPerAdd:0.04;0.02	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa62	148;119	178	124	60	42	4
1214	潜影蛇手阵	使用此阵犹如千万只蛇对你发动攻击，忽而又千万只手的形状将你缠绕，变幻莫测，难以捉摸。	2	6	baseHpPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa63	148;119	178	124	60	42	4
1215	星光七杀阵	传言忍者在星光照耀下使用此阵，会加倍该忍者攻击所造成的伤害。	2	6	baseShenFaPerAdd:0.05;0.02	baseBaoJiAdd:8;2	baseHpPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa64	148;119	178	124	60	42	4
1216	万蛇阵	大蛇丸的最强通灵兽，万蛇已在与迪达拉的对战中被佐助施了幻术而被迫做了佐助的盾牌，结果被迪达拉的终极自爆炸死。	2	6	baseHpPerAdd:0.07;0.03	baseMingZhongAdd:9;2	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa65	148;119	178	124	60	42	4
1217	镜天地转阵	将敌人的幻术反弹回去，且不会对自己造成伤害。	2	6	baseShenFaPerAdd:0.05;0.02	baseHuiXinAdd:8;2	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa66	148;119	178	124	60	42	4
1218	加具土命阵	天照状态下控制黑火的形态，可以配合“须佐能乎”形成一个坚固的火焰之盾，也能变化成“须佐能乎”手中所持的长剑，或者将其当成弓箭射出。	2	6	baseFangYuPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa67	148;119	178	124	60	42	4
1219	五重罗生门阵	召唤五重罗生门防御，比大蛇丸的三重罗生门防御更强，曾防御须左能乎和九尾合体后发出的尾兽玉。	2	6	baseShanBiAdd:15;4	baseMingZhongAdd:9;2	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa68	148;119	178	124	60	42	4
1220	顶上化佛阵	千手神通形态变化，巨型千手观音数千只手进攻	2	6	baseHpPerAdd:0.07;0.03	baseWuLiPerAdd:0.04;0.02	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa69	148;119	178	124	60	42	4
1221	森罗万象阵	此阵是古蜀人观鹰蛇争斗，创出此阵。施展开来如同一只凶猛的飞鹰，灵巧中透露着刚猛。	2	6	baseHpPerAdd:0.07;0.03	baseMingZhongAdd:9;2	baseWuLiPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa70	148;119	178	124	60	42	4
1222	蝶弹爆击阵	将全身脂肪转化为查克拉，当所有查克拉聚在一点的攻击是致命的。但是同时也有严重副作用。	2	6	baseKangBaoAdd:17;4	baseHuiXinAdd:8;2	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa71	148;119	178	124	60	42	4
1223	翠岚烈风阵	使用风遁，能远程控制他的查克拉刀或远程拿取别的东西。	2	6	baseShenFaPerAdd:0.05;0.02	baseShenFaPerAdd:0.03;0.01	baseShenFaPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa72	148;119	178	124	60	42	4
1224	狼牙伐锥阵	以查克拉刀乱斩敌人，威力可破大理石。	2	6	baseFangYuPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa73	148;119	178	124	60	42	4
1225	虫龙卷风阵	利用埋伏在敌人周围的寄坏虫制造出一股旋风包围敌人，将困在其中的敌人不留半点痕迹的吸食殆尽。	2	6	baseHpPerAdd:0.07;0.03	baseHpPerAdd:0.04;0.02	baseHpPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa75	148;119	178	124	60	42	4
1226	金刚召木阵	身体任意部分生长出木头，并直接伸向敌人。	2	6	baseWuLiPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa76	148;119	178	124	60	42	4
1227	水龙咬爆阵	以查克拉凝聚一摊水洼，使用水龙弹将敌人击飞后形成的两只水龙弹交互攻击敌人，攻击范围会应查克拉量而改变	2	6	baseHpPerAdd:0.07;0.03	baseHuiXinAdd:8;2	baseHuiXinAdd:8;2	-1	-1	-1	-1	zhengfa77	148;119	178	124	60	42	4
1228	硬涡水刃阵	在手中制造水漩涡在手中制造水旋涡并把形态浓缩成水标枪，用力投去，一接触目标就形成巨大的水龙卷，威力巨大又华丽厉害，攻击范围会应查克拉量而改变。	2	6	baseFangYuPerAdd:0.07;0.03	baseNeiLiPerAdd:0.06;0.02	baseWuLiPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa78	148;119	178	124	60	42	4
1229	金刚牢壁阵	由变身成金刚如意棒的猿魔，再分身成几十根如意棒，从四面八方包围住敌人，借此束缚住敌人的术。	2	6	baseFangYuPerAdd:0.07;0.03	baseShenFaPerAdd:0.03;0.01	baseShenFaPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa79	148;119	178	124	60	42	4
1230	猿魔之手阵	忍者会从自己的随身武器内分身出自己的躯体，看似恐怖。	2	6	baseHpPerAdd:0.07;0.03	baseNeiLiPerAdd:0.06;0.02	baseWuLiPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa80	148;119	178	124	60	42	4
1231	三方封印阵	先分出两个分身来，接着本体与两个分身把目标包围成三角形，然后由这三人之间形成一个散发出白光的透明金字塔后。	2	6	baseFangYuPerAdd:0.07;0.03	baseWuLiPerAdd:0.04;0.02	baseWuLiPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa81	148;119	178	124	60	42	4
1232	死面甲架阵	一道白光由塔顶直冲天际，瞬间目标就消失的，地上只剩下散发出死亡气息的三角形图案。	2	6	baseFangYuPerAdd:0.07;0.03	baseFangYuPerAdd:0.04;0.02	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa82	148;119	178	124	60	42	4
1233	四象封印阵	这是四代火影由漩涡一族的封印术改进而来的强力封印术，封印极其精细牢固。四代使用了双重四象封印来封印九尾。	2	6	baseHpPerAdd:0.07;0.03	jinGangPerAdd:0.04;0.02	wuXuPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa83	148;119	178	124	60	42	4
1234	八卦封印阵	双重四象封印即为八卦封印。四代火影在用尸鬼封尽之后即使用此术将九尾的另一半封印到鸣人体内。	2	6	baseShenFaPerAdd:0.05;0.02	baseNeiLiPerAdd:0.06;0.02	wuXuPerAdd:0.03;0.01	-1	-1	-1	-1	zhengfa84	148;119	178	124	60	42	4
1235	契约封印阵	将与通灵动物之间的契约进行封印，借以解除通灵术施术者与通灵动物之间的契约。	2	6	baseFangYuPerAdd:0.07;0.03	baseWuLiPerAdd:0.04;0.02	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa85	148;119	178	124	60	42	4
1236	尸鬼封尽阵	施术者可唤出死神，施行时只有施术者自己能看到，被施术者在被封印时可看到死神，并让死神吞噬掉敌人灵魂。	2	6	baseFangYuPerAdd:0.07;0.03	baseNeiLiPerAdd:0.06;0.02	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa86	148;119	178	124	60	42	4
1237	百豪之印阵	额头上出现菱形标记，微调节查克拉，达到瞬间治愈和加强攻击，提高速度的效果。	2	6	baseFangYuPerAdd:0.07;0.03	baseFangYuPerAdd:0.04;0.02	baseWuLiPerAdd:0.04;0.02	-1	-1	-1	-1	zhengfa87	148;119	178	124	60	42	4
1238	龙卷飓风阵	将查克拉注入风中形成超大龙卷风进行包裹式攻击，攻击范围广，中招后身体会被卷得扭曲。还可以制造真空效应，让火遁，声音，炸弹等忍术全部失效。	2	6	baseNeiLiPerAdd:0.1;0.04	baseNeiLiPerAdd:0.06;0.02	baseNeiLiPerAdd:0.05;0.02	-1	-1	-1	-1	zhengfa88	148;119	178	124	60	42	4
1239	八门遁甲阵	在查克拉流动的经脉上，由上而下算起，依次有：开门、休门、生门、伤门、杜门、景门、擎门和死门八个查克拉穴位密集的部位。	2	6	baseHpPerAdd:0.07;0.03	baseBaoJiAdd:8;2	baseBaoJiAdd:8;2	-1	-1	-1	-1	zhengfa89	148;119	178	124	60	42	4
