缘分ID	缘分名	缘分类型（5弟子缘分 7装备缘分 6技能缘分 4阵法缘分）	达成条件	属性加成
11068	长刀缝针	7	1500001	baseNeiLiPerAdd:0.24
11069	钝刀兜割	7	1400013	baseNeiLiPerAdd:0.24
11070	上善若水	7	4300001	baseNeiLiPerAdd:0.15
11071	中忍破甲	7	3200005	baseFangYuPerAdd:0.12
11072	战术背心	7	3400001	baseFangYuPerAdd:0.17
11073	卡卡西战衣	7	3400002	baseFangYuPerAdd:0.15
11074	木叶影舞	7	5300011	baseMingZhongAdd:40
11075	上忍战衣	7	3300009	baseFangYuPerAdd:0.12
11076	叶丸童装	7	3400007	baseWuLiPerAdd:0.16
11077	雨露苦无	7	1300013	baseMingZhongAdd:40
11078	土之符	7	4200008	baseHpPerAdd:0.12
11079	三宅健太	7	5200004	baseShanBiAdd:35
11080	砂忍护额	7	2200004	baseBaoJiAdd:35
11081	水之符	7	4300001	baseNeiLiPerAdd:0.15
11082	感知忍者	7	5300006	baseMingZhongAdd:40
11083	三星扇	7	1400011	baseWuLiPerAdd:0.14
11084	风之符	7	4200007	baseWuLiPerAdd:0.13
11085	乡间传说	7	4300002	baseNeiLiPerAdd:0.15
11086	砂隐血踏	7	5200005	baseBaoJiAdd:35
11087	双刀平目鲽	7	1500003	baseWuLiPerAdd:0.24
11088	爆刀飞沫	7	1500002	baseNeiLiPerAdd:0.24
11089	雨忍护额	7	2300004	baseMingZhongAdd:40
11090	晓之戒指	7	4400005	baseShenFaPerAdd:0.17
11091	上忍毁靴	7	5400005	baseMingZhongAdd:40
11092	医疗风衣	7	3300003	baseHpPerAdd:0.19
11093	暗部面具	7	2400001	baseHpPerAdd:0.13
11094	天乾履	7	5200007	baseShanBiAdd:40
11095	叛忍风衣	7	3300001	baseFangYuPerAdd:0.13
11096	残影	7	5300002	baseShanBiAdd:40
11097	七窍玲珑	7	4400004	baseWuLiPerAdd:0.16
11098	特忍护额	7	2300015	baseFangYuPerAdd:0.24
11099	呼吸有毒	7	2400005	baseShenFaPerAdd:0.15
11100	雷影战靴	7	5400009	baseBaoJiAdd:48
11101	雾隐怪人	7	2300012	baseFangYuPerAdd:0.24
11102	名刀黑泽	7	1400003	baseWuLiPerAdd:0.24
11103	红莲爪	7	1100005	baseHpPerAdd:0.12
11104	木叶流云	7	1100008	baseWuLiPerAdd:0.11
11105	音忍护额	7	2300003	baseFangYuPerAdd:0.17
11106	幻影靴	7	5300008	baseShanBiAdd:40
11107	疾风扇	7	1300007	baseShenFaPerAdd:0.14
11108	医之坠	7	4300016	baseShanBiAdd:40
11109	岩忍护额	7	2300007	baseMingZhongAdd:40
11110	暗部风衣	7	3300004	baseFangYuPerAdd:0.17
12000	须佐能乎	6	330007	baseShenFaPerAdd:0.14
12001	火遁忍术	6	110000	baseWuLiPerAdd:0.19
12002	树界降临	6	430015	baseNeiLiPerAdd:0.24
12003	秽土复活	6	800029	baseHpPerAdd:0.13
12004	苦无	6	100002	baseHuiXinAdd:48
12005	写轮眼	6	800030	baseShenFaPerAdd:0.14
12006	瞬间移动	6	330012	baseNeiLiPerAdd:0.23
12007	金色闪光	6	330012	baseShenFaPerAdd:0.16
12008	冷血化妆	6	410000	baseBaoJiAdd:48
12009	砂之盾	6	430002	baseWuLiPerAdd:0.19
12010	砂瀑大葬	6	230002	baseHuiXinAdd:48
12011	蝎子尾	6	220001	baseMingZhongAdd:48
12012	大玉螺旋丸	6	800003	baseShenFaPerAdd:0.2
12013	龙火之术	6	110003	baseNeiLiPerAdd:0.24
12014	蛤蟆临唱	6	430009	baseWuLiPerAdd:0.19
12015	水遁流壁	6	420004	baseShenFaPerAdd:0.2
12016	尾兽能力	6	230008	baseShenFaPerAdd:0.19
12017	重流暴	6	420013	baseWuLiPerAdd:0.15
12018	土遁力量	6	420003	baseNeiLiPerAdd:0.24
12019	轻重岩术	6	420000	baseWuLiPerAdd:0.16
12020	医疗忍者	6	230003	baseHpPerAdd:0.14
12021	别小看医生	6	230003	baseWuLiPerAdd:0.14
12022	百豪之术	6	130011	baseShenFaPerAdd:0.12
12023	土流大河	6	320006	baseShenFaPerAdd:0.16
12024	火龙炎弹	6	120004	baseNeiLiPerAdd:0.16
12025	象转之术	6	430005	baseNeiLiPerAdd:0.24
12026	水龙弹	6	320009	baseNeiLiPerAdd:0.24
12027	水遁掌握	6	310006	baseHpPerAdd:0.14
12028	木叶烈风	6	210007	baseShenFaPerAdd:0.12
12029	八门遁甲	6	320010	baseWuLiPerAdd:0.16
12030	水遁忍术	6	320009	baseNeiLiPerAdd:0.24
12031	看家本事	6	210011	baseHuiXinAdd:48
12032	孢子之术	6	220006	baseHuiXinAdd:48
12033	土中潜航	6	210009	baseHuiXinAdd:48
12034	查克拉刀	6	200003	baseShenFaPerAdd:0.16
12035	闪光十字	6	300001	baseWuLiPerAdd:0.16
12036	真空玉	6	430013	baseMingZhongAdd:56
12037	裂土转掌	6	110011	baseNeiLiPerAdd:0.24
12038	断波水遁	6	230001	baseShenFaPerAdd:0.16
12039	镰鼬之舞	6	220005	baseWuLiPerAdd:0.19
12040	风之刃	6	130001	baseWuLiPerAdd:0.13
12041	岩分身	6	410017	baseHuiXinAdd:49
12042	雷切之术	6	900008	baseHuiXinAdd:49
12043	傀儡术	6	420009	baseShenFaPerAdd:0.16
12044	漩涡封印术	6	330005	baseShenFaPerAdd:0.16
12045	影首缚颈术	6	210004	baseShenFaPerAdd:0.12
12046	水弹战车	6	120009	baseWuLiPerAdd:0.14
12047	百花缭乱	6	230005	baseShenFaPerAdd:0.16
12048	八卦掌	6	130003	baseHpPerAdd:0.15
12049	掷手里剑	6	200001	baseMingZhongAdd:20
12050	土龙弹	6	210006	baseBaoJiAdd:35
12051	开土升掘	6	420014	baseHuiXinAdd:40
12052	水铁炮之术	6	800010	baseHpPerAdd:0.12
12053	平目鲽解放	6	800031	baseHuiXinAdd:40
12054	雨虎自在	6	430000	baseBaoJiAdd:48
12055	雷虎通杀	6	330008	baseShenFaPerAdd:0.16
12056	树缚永葬	6	220002	baseNeiLiPerAdd:0.17
12057	海市蜃楼	6	320001	baseNeiLiPerAdd:0.16
12058	墨分身	6	210010	baseHpPerAdd:0.12
12059	秘术虫沼	6	120006	baseNeiLiPerAdd:0.17
12060	豪水腕	6	220010	baseFangYuPerAdd:0.16
12061	潜影蛇手	6	120000	baseShenFaPerAdd:0.16
12062	牙通牙	6	800027	baseHuiXinAdd:36
12063	水阵壁	6	220009	baseBaoJiAdd:40
12064	真空波	6	430014	baseNeiLiPerAdd:0.2
12065	水饴拿原	6	210008	baseShenFaPerAdd:0.13
12066	蒸危爆威	6	310010	baseHpPerAdd:0.12
12067	医疗术	6	230003	baseHpPerAdd:0.14
12068	逆向通灵	6	420006	baseNeiLiPerAdd:0.17
12069	仙人咒印	6	800028	baseHuiXinAdd:40
12070	治活再生	6	230004	baseHpPerAdd:0.24
12071	纸海封印	6	130002	baseHuiXinAdd:48
12072	三日月之舞	6	230011	baseShanBiAdd:40
12073	千鸟千本	6	130007	baseWuLiPerAdd:0.19
12074	家族继承	6	800030	baseHuiXinAdd:48
13001	四紫炎阵	4	1402	baseShenFaPerAdd:0.14
13002	万蛇罗之阵	4	1407	baseNeiLiPerAdd:0.24
13003	结界法阵	4	1400	baseNeiLiPerAdd:0.2
13004	天盖法阵	4	1401	baseHuiXinAdd:48
13005	四赤阳阵	4	1403	baseShenFaPerAdd:0.14
13006	炎狱怃阵	4	1404	baseNeiLiPerAdd:0.24
13007	上忍阵	4	1405	baseNeiLiPerAdd:0.24
13008	四黑雾阵	4	1406	baseBaoJiAdd:48
13009	剧蚀流砫阵	4	1408	baseWuLiPerAdd:0.19
13010	潜脑操砂阵	4	1409	baseHuiXinAdd:48
13011	砂铁时雨阵	4	1410	baseMingZhongAdd:48
13012	砂铁结袭阵	4	1411	baseShenFaPerAdd:0.2
13013	砂铁散击阵	4	1412	baseNeiLiPerAdd:0.24
13014	砂铁天翼阵	4	1413	baseWuLiPerAdd:0.19
13015	五封结界阵	4	1414	baseKangBaoAdd:41
13016	幻龙九封尽阵	4	1415	baseShenFaPerAdd:0.19
13017	砂铁界法阵	4	1301	baseHuiXinAdd:48
13018	天门阵	4	1302	baseNeiLiPerAdd:0.24
13019	术阵	4	1303	baseWuLiPerAdd:0.16
13020	无忍阵	4	1304	baseHpPerAdd:0.14
13021	风沙阵	4	1305	baseHpPerAdd:0.14
13022	幻影阵	4	1306	baseShenFaPerAdd:0.12
13023	浮影阵	4	1307	baseShenFaPerAdd:0.16
13024	魅影阵	4	1308	baseNeiLiPerAdd:0.16
13025	魔尊阵	4	1309	baseNeiLiPerAdd:0.24
13026	冷渊阵	4	1310	baseNeiLiPerAdd:0.24
13027	赤炎阵	4	1311	baseHpPerAdd:0.14
13028	弑魂阵	4	1312	baseShenFaPerAdd:0.12
13029	风影阵	4	1313	baseWuLiPerAdd:0.16
13030	火影阵	4	1314	baseNeiLiPerAdd:0.24
13031	水影阵	4	1315	baseNeiLiPerAdd:0.24
13032	雷影阵	4	1316	baseNeiLiPerAdd:0.2
13033	土影阵	4	1317	baseHuiXinAdd:48
13034	绝忍阵	4	1318	baseWuLiPerAdd:0.14
13035	轮回天生阵	4	1201	baseNeiLiPerAdd:0.24
13036	外道魔像阵	4	1202	baseNeiLiPerAdd:0.24
13037	火光阵	4	1203	baseBaoJiAdd:48
13038	水月阵	4	1204	baseWuLiPerAdd:0.19
13039	雪影阵	4	1205	baseHuiXinAdd:48
13040	暗影阵	4	1206	baseMingZhongAdd:48
13041	骷髅阵	4	1207	baseShenFaPerAdd:0.2
13042	裂甲阵	4	1208	baseNeiLiPerAdd:0.24
13043	泉沼阵	4	1209	baseWuLiPerAdd:0.19
13044	指刻封印阵	4	1210	baseKangBaoAdd:41
13045	封火法印阵	4	1211	baseShenFaPerAdd:0.19
13046	秽土转生阵	4	1212	baseHuiXinAdd:48
13047	风魔阵	4	1213	baseNeiLiPerAdd:0.24
13048	潜影蛇手阵	4	1214	baseWuLiPerAdd:0.16
13049	星光七杀阵	4	1215	baseHpPerAdd:0.14
13050	万蛇阵	4	1216	baseHpPerAdd:0.14
13051	镜天地转阵	4	1217	baseShenFaPerAdd:0.12
13052	加具土命阵	4	1218	baseShenFaPerAdd:0.16
13053	五重罗生门阵	4	1219	baseNeiLiPerAdd:0.16
13054	顶上化佛阵	4	1220	baseNeiLiPerAdd:0.24
13055	森罗万象阵	4	1221	baseNeiLiPerAdd:0.24
13056	蝶弹爆击阵	4	1222	baseHpPerAdd:0.14
13057	翠岚烈风阵	4	1223	baseShenFaPerAdd:0.12
13058	狼牙伐锥阵	4	1224	baseWuLiPerAdd:0.16
13059	虫龙卷风阵	4	1225	baseNeiLiPerAdd:0.24
13060	金刚召木阵	4	1226	baseFangYuPerAdd:0.19
13061	水龙咬爆阵	4	1227	baseNeiLiPerAdd:0.24
13062	硬涡水刃阵	4	1228	baseNeiLiPerAdd:0.2
13063	金刚牢壁阵	4	1229	baseHuiXinAdd:48
13064	猿魔之手阵	4	1230	baseShenFaPerAdd:0.14
13065	三方封印阵	4	1231	baseNeiLiPerAdd:0.24
13066	死面甲架阵	4	1232	baseNeiLiPerAdd:0.24
13067	四象封印阵	4	1233	baseBaoJiAdd:48
13068	八卦封印阵	4	1234	baseWuLiPerAdd:0.19
13069	契约封印阵	4	1235	baseHuiXinAdd:48
13070	尸鬼封尽阵	4	1236	baseMingZhongAdd:48
13071	百豪之印阵	4	1237	baseShenFaPerAdd:0.2
13072	龙卷飓风阵	4	1238	baseNeiLiPerAdd:0.24
13073	八门遁甲阵	4	1239	baseWuLiPerAdd:0.19
13074	轮回	6	500012	baseShenFaPerAdd:0.14
13075	是为水影	7	2400011	baseWuLiPerAdd:0.19
13076	亦敌亦友	5	10001;10006	baseShenFaPerAdd:0.27
13077	小队羁绊	5	10007;10038;10040;10086	baseWuLiPerAdd:0.31
13078	龙虎斗	5	10003;10002	baseWuLiPerAdd:0.25
13079	灵器	7	1500010	baseWuLiPerAdd:0.21
13080	故人之托	6	800002	baseHuiXinAdd:48
13081	愚蠢的弟弟	5	10004;10006	baseWuLiPerAdd:0.25
13082	你是我的眼	5	10038;10040	baseShenFaPerAdd:0.2
13083	力量组合	5	10004;10023	baseWuLiPerAdd:0.25
13084	超大玉螺旋丸	6	800004	baseKangBaoAdd:49
13085	仙法·螺旋丸	6	500013	baseShenFaPerAdd:0.2
13086	孩童玩具	6	200000	baseHuiXinAdd:48
13087	影叶之舞	6	410005	baseWuLiPerAdd:0.16
13088	复制品	5	10003	baseHuiXinAdd:65
13089	白色的眼睛	6	500019	baseShenFaPerAdd:0.12
13090	乱世之恋	5	10060;10028	baseNeiLiPerAdd:0.21
13091	母子相会	5	10045;10041	baseWuLiPerAdd:0.23
13092	暗恋	5	10041;10075	baseWuLiPerAdd:0.23
13093	傀儡大师	6	900005	baseWuLiPerAdd:0.13
13094	我来辅助	5	10034;10006	baseNeiLiPerAdd:0.24
13095	赋予咒印	5	10034;10009	baseHpPerAdd:0.19
13096	中忍象征	7	3200006	baseBaoJiAdd:43
13097	六道生灵	6	110007	baseShenFaPerAdd:0.17
13098	平淡无奇	7	1100001	baseBaoJiAdd:20
13099	黑暗行	6	420017	baseShanBiAdd:35
13100	是为风影	7	5400011	baseMingZhongAdd:48
13101	绯流琥	7	1200002	baseHpPerAdd:0.13
13102	沸腾血继	6	430019	baseWuLiPerAdd:0.14
13103	得意之技	6	420016	baseBaoJiAdd:49
13104	血债	5	10022;10028	baseNeiLiPerAdd:0.32
13105	血债血偿	5	10022;10046	baseWuLiPerAdd:0.19
13106	终结	5	10024;10041	baseKangBaoAdd:44
13107	老子当年	5	10024;10003	baseShanBiAdd:57
13108	各逞心机	5	10025;10040	baseWuLiPerAdd:0.17
13109	听命行事	5	10025;10002	baseShenFaPerAdd:0.21
13110	化身为纸	6	420019	baseWuLiPerAdd:0.17
13111	天使陨落	5	10026;10040	baseWuLiPerAdd:0.25
13112	谢幕	5	10027;10006	baseWuLiPerAdd:0.23
13113	联协仙法	6	330007	baseBaoJiAdd:49
13114	转生容器	5	10036;10009	baseShenFaPerAdd:0.2
13115	功败垂成	5	10036;10010	baseHuiXinAdd:64
13116	休伤吾主	5	10037;10038	baseShenFaPerAdd:0.2
13117	但求一死	5	10037;10041	baseHuiXinAdd:58
13118	互相利用	5	10040;10002	baseNeiLiPerAdd:0.21
13119	尾兽化	6	230008	baseNeiLiPerAdd:0.15
13120	十拳剑	7	1400009	baseShenFaPerAdd:0.12
13121	天生怪力	6	230005	baseShenFaPerAdd:0.14
10092	五影齐聚	5	10018;10015;10010;10016;10019	baseNeiLiPerAdd:0.72
13122	苍蓝野兽	6	420012	baseShenFaPerAdd:0.12
13123	无间道	7	2400001	baseBaoJiAdd:53
13124	死得其所	6	220011	baseBaoJiAdd:53
13125	言听计从	5	10025;10040	baseBaoJiAdd:54
13126	尾兽补习班	5	10001;10014	baseBaoJiAdd:60
13127	神的称赞	5	10001;10000;10006	baseWuLiPerAdd:0.36
13128	火焰团扇	7	1500009	baseHpPerAdd:0.16
13129	木叶上忍	7	3300009	baseMingZhongAdd:42
13130	西瓜头	7	2400014	baseBaoJiAdd:42
13131	负重训练	7	5400013	baseMingZhongAdd:43
13132	甘愿赴死	5	10119;10006	baseShenFaPerAdd:0.19
13133	意外恩人	5	10119;10118	baseWuLiPerAdd:0.17
13134	同族	5	10119;10041	baseNeiLiPerAdd:0.27
13135	医疗能力	7	4300016	baseHpPerAdd:0.12
13136	诅咒之眼	6	800030	baseWuLiPerAdd:0.13
13137	亦师亦友	5	10121;10004	baseNeiLiPerAdd:0.27
13138	反叛家族	7	5400002	baseShenFaPerAdd:0.14
13139	死敌（基友）	5	10120;10041	baseShenFaPerAdd:0.19
13140	追逐背影	5	10004;10120	baseWuLiPerAdd:0.17
13141	火遁忍术	6	110003	baseWuLiPerAdd:0.14
13142	家族徽记	7	4400013	baseNeiLiPerAdd:0.22
13143	自创绝技	6	130006	baseBaoJiAdd:49
13144	木遁忍术	6	500010	baseWuLiPerAdd:0.13
13145	诚意相见	5	10121;10017	baseShenFaPerAdd:0.16
13146	埋藏左眼	5	10121;10001	baseWuLiPerAdd:0.17
13147	双子转生	5	10000;10001;10006	baseWuLiPerAdd:0.32
13148	在一起	5	10001;10122	baseWuLiPerAdd:0.13
13149	忍术始祖	6	500014	baseHuiXinAdd:55
13150	仙人之姿	7	3400011	baseNeiLiPerAdd:0.13
13151	六道勾玉	7	1400008	baseWuLiPerAdd:0.11
13152	牺牲	5	10122;10050	baseShenFaPerAdd:0.16
13153	柔中带刚	5	10122;10060	baseWuLiPerAdd:0.13
13154	父子雷影	5	10123;10015	baseHpPerAdd:0.15
13155	雷遁传承	5	10123;10068	baseHpPerAdd:0.15
13156	秽土重生	6	800029	baseKangBaoAdd:40
13157	洞悉弱点	5	10123;10001	baseFangYuPerAdd:0.21
13158	其名雷影	7	2400009	baseNeiLiPerAdd:0.4
13159	矛与盾	6	500028	baseHpPerAdd:0.12
13160	独门秘技	6	430006	baseFangYuPerAdd:0.13
