副本ID	副本名称	副本说明	前序副本ID	后序副本ID	所属关卡	体力消耗	每天挑战次数（普通；高手；宗师）	携带英雄1（阵首）	携带英雄2	携带英雄3	携带英雄4	携带英雄5	携带英雄6	携带英雄7	阵法ID	基础威望	基础武将经验	基础银两	经验奖励经验	银两奖励比例	掉落包	副本图标	战斗场景	刷新所需元宝	是否为BOSS	等级压制系数	压制等级	战斗场景音效	特殊掉落ID	特殊掉落概率（1-1000）
10013	危机出现	哪里不对？到处都弥漫着化不开的大雾，要提高警惕。	10012	10014	3	1	100	100453	100453	-1	100453	-1	-1	-1	0	-1	27	285	1	1	-1	8	13	10	0	-1	3	state	GD001	150
10014	杀手冥头	C级任务中居然出现了杀手，第七班，防御阵型！	10013	10015	3	1	100	101887	101886	-1	101885	-1	-1	-1	0	-1	27	285	1	1	-1	9	13	10	0	-1	3	denglu1	GD001	150
10015	白姐姐？	危机解除，大家寄宿在波之国伊那里家中，同时认识了一名神秘的美少年——白。	10014	10016	3	1	12	-1	-1	101536	-1	101886	-1	101886	0	-1	27	380	1	1	10015	dizi_101536	13	10	0	-1	3	state	GD002	150
10016	杀手业头	继续上路，没想到再一次遇到了杀手。这到底是怎么回事？	10015	10017	3	1	100	101888	101885	-1	101886	-1	-1	-1	0	-1	27	285	1	1	-1	10	13	10	0	-1	3	denglu1	GD001	150
10017	一战再不斩	幕后BOSS出现了，是扛着大刀的强力忍者——桃地再不斩。还好白及时赶到，用暗器杀死了再不斩。	10016	10018	3	1	100	100005	100452	-1	101889	-1	-1	-1	0	-1	27	285	1	1	-1	11	13	10	0	-1	3	state	GD001	150
10018	更多杀手	再不斩真的死了吗？白为什么没有及时处理掉再不斩的尸体……不好，中计了！	10017	10019	3	1	100	100005	100452	-1	100452	-1	-1	-1	0	-1	27	285	1	1	-1	12	13	10	0	-1	3	denglu1	GD001	150
10019	白哥哥？	佐助用自己的身体掩护了鸣人，身受重伤倒下。鸣人以为佐助被杀，愤怒激发了九尾的力量。	10018	10020	3	1	12	101536	-1	100453	-1	-1	101527	-1	0	-1	37	430	1	1	10019	dizi_101536	13	10	0	-1	4	state	GD002	150
10020	为爱献身	鸣人向再不斩讲述了白对他的忠诚和情谊，让再不斩这个铁血男人落泪不已。再不斩因此反过来把作恶多端的卡多杀掉，但牺牲了自己的性命。	10019	10021	3	1	5	101516	101527	-1	101536	-1	101516	-1	0	-1	46	750	1	1	10020	dizi_101527	13	10	1	2	5	denglu1	GD003	200
10021	纳尼？笔试！	中忍考试第一场居然是笔试，浏览试卷发现——一全！都！不！会！	10020	10022	4	1	100	101891	100007	-1	100007	-1	-1	-1	0	-1	46	375	1	1	-1	13	13	10	0	-1	5	state	GD001	150
10022	害羞雏田	雏田偷偷把试卷递了过来，抄？不抄？雏田，你的脸怎么红了……	10021	10023	4	1	100	100454	100007	-1	101890	-1	-1	-1	0	-1	46	375	1	1	-1	14	13	10	0	-1	5	denglu1	GD001	150
10023	森乃伊比喜	主考官居然要我们选择要不要做最后一题，我……当然不会放弃！我是要成为火影的男人！	10022	10024	4	1	100	101891	100007	-1	100007	-1	-1	-1	0	-1	46	375	1	1	-1	dizi_101891	13	10	0	-1	5	state	GD001	150
10024	战胜雨忍	中忍考试第二场：生存试练，在死亡森林内与其他考生争夺用来进级的『天之卷轴』及『地之卷轴』。	10023	10025	4	1	100	101892	101893	-1	101893	-1	-1	-1	0	-1	46	375	1	1	-1	15	13	10	0	-1	5	denglu1	GD001	150
10025	战胜音忍	音忍村的下忍来袭，击败他们吧！	10024	10026	4	1	12	101894	101895	-1	101895	-1	-1	-1	0	-1	46	500	1	1	10025	16	13	10	0	-1	5	state	GD002	150
10026	战胜草忍	草忍村的下忍，实力出人意料的强大。这到底是怎么回事？	10025	10027	4	1	100	100008	100455	-1	100455	-1	-1	-1	0	-1	46	375	1	1	-1	17	13	10	0	-1	5	denglu1	GD001	150
10027	萨克	实力超强的草忍——萨克出现了。这里面一定有不可告人的秘密。	10026	10028	4	1	100	101896	100455	-1	100008	-1	-1	-1	0	-1	46	375	1	1	-1	dizi_101524	13	10	0	-1	5	state	GD001	150
10028	托斯	又一个实力超强的草忍托斯，战胜他！	10027	10029	4	1	100	100455	101897	-1	100455	-1	-1	-1	0	-1	46	375	1	1	-1	19	13	10	0	-1	5	denglu1	GD001	150
10029	夺取卷轴	在兜的帮助下终于集齐了卷轴，顺利通过了第二场考试。	10028	10030	4	1	12	101898	100456	-1	100456	-1	-1	-1	0	-1	55	580	1	1	10029	dizi_101528	13	10	0	-1	6	state	GD002	150
10030	大蛇丸	受到佐助的忍术攻击，外表被烧伤的草忍好像全无感觉。他说他的名字是——大蛇丸。	10029	10031	4	1	5	101523	101524	-1	100457	-1	101499	-1	0	-1	65	1000	1	1	10030	dizi_101526	13	10	1	2	7	denglu1	GD003	200
10031	预选，go！	第一场预选赛，佐助VS赤铜铠，佐助在最后关头终于使出了写轮眼的力量。	10030	10032	5	1	100	100009	100458	101899	100458	-1	-1	-1	0	-1	74	545	1	1	-1	20	13	10	0	-1	8	state	GD001	150
10032	最好的对手	小樱VS井野，两个都喜欢佐助的少女会碰撞出怎样的火花呢？	10031	10033	5	1	100	100009	100458	101900	100458	-1	-1	-1	0	-1	74	545	1	1	-1	21	13	10	0	-1	8	denglu1	GD001	150
10033	战胜犬冢牙	鸣人VS犬冢牙，鸣人能敌得过吃了兵粮丸的赤丸和犬冢牙吗？	10032	10034	5	1	100	100009	100458	101901	100458	-1	-1	-1	0	-1	74	545	1	1	-1	22	13	10	0	-1	8	state	GD001	150
10034	温泉修行	跟随惠比斯老师修炼，通过在滚烫的温泉水上步行练习查克拉的使用。	10033	10035	5	1	100	100009	100458	100458	100458	-1	-1	-1	0	-1	74	545	1	1	-1	23	13	10	0	-1	8	denglu1	GD001	150
10035	好色仙人	在温泉遇到了偷窥女澡堂的人，好好教训他和他的蛤蟆！	10034	10036	5	1	12	101903	101904	101902	101904	-1	-1	-1	0	-1	83	800	1	1	10035	dizi_101902	13	10	0	-1	9	state	GD002	150
10036	传授奥义	原来他就是传说中的三忍之一——自来也。跟随好色仙人一起修行吧。	10035	10037	5	1	100	101903	101905	101905	101905	-1	-1	-1	0	-1	83	605	1	1	-1	24	13	10	0	-1	9	denglu1	GD001	150
10037	中忍正式赛	中忍正式赛开始，战胜砂忍村的下忍们。	10036	10038	5	1	100	100010	100460	100460	100460	-1	-1	-1	0	-1	83	605	1	1	-1	25	13	10	0	-1	9	state	GD001	150
10038	日向宁次	雏田说【鸣人即使失败，仍然再次起来迎战，这才是真正的强悍。】拾起勇气，战胜对手日向宁次吧！	10037	10039	5	1	100	100010	100460	101906	100460	-1	-1	-1	0	-1	83	605	1	1	-1	26	13	10	0	-1	9	denglu1	GD001	150
10039	迎战手鞠	迎战来自砂忍村的女忍者手鞠。	10038	10040	5	1	12	101530	100459	100459	100459	-1	-1	-1	0	-1	93	870	1	1	10039	dizi_101530	13	10	0	-1	10	state	GD002	150
10040	我爱罗	一边是木叶新人NO.1的佐助，另一半是砂忍村的王牌我爱罗，燃烧起来吧佐助！	10039	10041	5	1	5	101513	101539	-1	101530	-1	100996	-1	0	-1	102	1400	1	1	10040	dizi_101539	13	10	1	2	11	denglu1	GD003	200
10041	援救佐助	佐助居然去追我爱罗了，快去支援佐助吧。	10040	10042	6	1	100	100011	100461	100461	100461	-1	-1	-1	0	-1	102	700	1	1	-1	27	13	10	0	-1	11	state	GD011	150
10042	艰难追踪	他们的速度太快了，一会的功夫就不见了。	10041	10043	6	1	100	100011	100461	100461	100461	-1	-1	-1	0	-1	102	700	1	1	-1	28	13	10	0	-1	11	denglu1	GD011	150
10043	初遇砂忍	已经追了好远了，但还是没有看到佐助。	10042	10044	6	1	100	100011	100461	100461	100461	-1	-1	-1	0	-1	102	700	1	1	-1	29	13	10	0	-1	11	state	GD011	150
10044	手鞠	手鞠居然在这里出现了，她也是为了阻止我们援救佐助吗，不过她应该知道佐助在哪里。	10043	10045	6	1	12	100012	100461	101587	100461	-1	-1	-1	0	-1	102	930	1	1	10044	dizi_100012	13	10	0	-1	11	denglu1	GD012	150
10045	砂忍偷袭	佐助就在前面了，这个时候居然还有砂忍来偷袭，可恶。	10044	10046	6	1	100	100013	100462	100462	100462	-1	-1	-1	0	-1	111	735	1	1	-1	30	13	10	0	-1	12	state	GD011	150
10046	一大波砂忍	砂忍小队出现了，他们到底派出了多少人。	10045	10047	6	1	100	100013	100462	100462	100462	-1	-1	-1	0	-1	111	735	1	1	-1	0	13	10	0	-1	12	denglu1	GD011	150
10047	奋战砂忍	居然派出了这么多人，这下可麻烦了，但是为了同伴即使这样也不能阻止我。	10046	10048	6	1	100	100013	100462	100462	100462	-1	-1	-1	0	-1	111	735	1	1	-1	1	13	10	0	-1	12	state	GD011	150
10048	我爱罗	我爱罗痛苦的回忆着自己的往事，不过看起来他真的要暴走了。	10047	10049	6	1	12	101567	100462	100462	100462	-1	-1	-1	0	-1	111	980	1	1	10048	dizi_101567	13	10	0	-1	12	denglu1	GD012	150
10049	偷袭忍者	正和我爱罗打的不分胜负，居然有砂忍下忍来倒乱。	10048	10050	6	1	100	100014	100463	-1	100463	-1	100997	-1	0	-1	120	760	1	1	-1	2	13	10	0	-1	13	state	GD011	150
10050	守鹤	我爱罗化成完全体的尾兽一尾，看来只有打倒一尾，真正的我爱罗才能苏醒过来。	10049	10051	6	1	5	101567	-1	101587	-1	100998	101533	-1	0	-1	130	1700	1	1	10050	dizi_101533	13	10	1	-1	14	denglu1	GD013	200
10051	寻找纲手	三代火影已经去世了，为了木叶的稳定，必须找到纲手大人回来接任火影。	10050	10052	7	1	100	100015	100464	100464	100464	-1	-1	-1	0	-1	130	845	1	1	-1	3	13	10	0	-1	14	state	GD011	150
10052	初遇下忍	才刚刚出来寻找纲手，就遇到阻碍了，等等这是什么地方。	10051	10053	7	1	100	100015	100464	100464	100464	-1	-1	-1	0	-1	130	845	1	1	-1	4	13	10	0	2	14	denglu1	GD011	150
10053	又是下忍	刚消灭了一波下忍，又出现了一小波新的，看我顺利解决他们。	10052	10054	7	1	100	100015	100464	100464	100464	-1	-1	-1	0	-1	130	845	1	1	-1	5	13	10	0	-1	14	state	GD011	150
10054	大片下忍	又有下忍出现了，还是打到他们把，就当打发无聊时间了。	10053	10055	7	1	100	100015	100464	100464	100464	-1	-1	-1	0	-1	130	845	1	1	-1	6	13	10	0	-1	14	denglu1	GD011	150
10055	兜	兜出现了，他是大蛇丸的爪牙，终于来了个有点实力的角色了，轻松解决他吧。	10054	10056	7	1	12	100016	100465	101528	100465	-1	-1	-1	0	-1	139	1240	1	1	10055	dizi_101528	13	10	0	-1	15	state	GD012	150
10056	遭遇围困	这年头居然有忍者出来打劫，就当打发无聊时间了。	10055	10057	7	1	100	100017	100466	100466	100466	-1	-1	-1	0	-1	139	930	1	1	-1	7	13	10	0	-1	15	denglu1	GD011	150
10057	赌场询问	去赌场可能会打听到纲手的消息，她最喜欢赌博了。	10056	10058	7	1	100	100017	100466	100466	100466	-1	-1	-1	0	-1	139	930	1	1	-1	8	13	10	0	-1	15	state	GD011	150
10058	痛苦回忆	大蛇丸居然利用复活她的弟弟和恋人来要挟纲手替他治疗,真卑鄙。	10057	10059	7	1	100	100018	100467	100467	100467	-1	-1	-1	0	-1	139	930	1	1	-1	9	13	10	0	-1	15	denglu1	GD011	150
10059	交涉决裂	在最关键的时候纲手终于明白了大蛇丸的诡计，而拒绝了他的交易。	10058	10060	7	1	100	100018	100467	100467	100467	-1	-1	-1	0	-1	139	930	1	1	-1	10	13	10	0	-1	15	state	GD011	150
10060	自来也	三忍之一的自来也也出现了，看样子三忍大战已经不可避免了。	10059	10061	7	1	12	101526	100468	100468	100468	-1	-1	-1	0	-1	148	1350	1	1	10060	dizi_101902	13	10	0	-1	16	denglu1	GD012	150
10061	八歧大蛇	八歧大蛇被大蛇丸招出来了，但是纲手和自来也不甘示弱分别招出了通灵兽，三忍大战开始了。	10060	10062	7	1	12	100019	100468	101515	100468	-1	-1	-1	0	-1	148	1350	1	1	10061	dizi_100019	13	10	0	-1	16	state	GD012	150
10062	大蛇丸	大蛇丸终于出现了，打倒他吧。	10061	10063	7	1	5	101526	101515	-1	101528	-1	101505	-1	0	-1	158	2200	1	1	10062	dizi_101526	13	10	1	-1	17	denglu1	GD013	200
10063	音的诱惑	大蛇丸派忍者告诉佐助，要是想找鼬报仇就去找他。	10062	10064	8	1	100	100020	100469	100469	100469	-1	100999	-1	0	-1	158	1100	1	1	-1	11	13	10	0	-1	17	state	GD011	150
10064	小樱的阻挡	小樱拼命阻挡佐助离去，可使佐助充耳不闻，接受了大蛇丸的邀请离开了木叶村。	10063	10065	8	1	100	100020	100469	100469	100469	-1	100999	-1	0	-1	158	1100	1	1	-1	12	13	10	0	-1	17	denglu1	GD011	150
10065	一生的承诺	鸣人对小樱许下了“一定把佐助带回来”的承诺，之后就出发了。	10064	10066	8	1	100	100020	100469	100469	100469	-1	100999	-1	0	-1	158	1100	1	1	-1	13	13	20	0	-1	17	state	GD011	150
10066	行动开始	小队已经准备好了，可以开始追捕了。	10065	10067	8	1	100	100020	100469	100469	100469	-1	100999	-1	0	-1	158	1100	1	1	-1	14	13	10	0	-1	17	denglu1	GD011	150
10067	次郎坊	次廊坊，音忍五人众中的一个，但是难道凭他一个就想阻挡我们么。	10066	10068	8	1	12	101549	100470	100470	100470	-1	101000	-1	0	-1	167	1590	1	1	10067	dizi_101549	13	10	0	-1	18	state	GD012	150
10068	偶遇忍者	突然又出现了几名忍着，看起来实力很强呀。	10067	10069	8	1	100	100021	100470	100470	100470	-1	101000	-1	0	-1	167	1190	1	1	-1	15	13	10	0	-1	18	denglu1	GD011	150
10069	小波音忍	突然出现了一小波忍者，看来敌人的防守做的很严密呀。	10068	10070	8	1	100	100021	100470	100470	100470	-1	101000	-1	0	-1	167	1190	1	1	-1	16	13	10	0	-1	18	state	GD011	150
10070	又是音忍	敌人越来越多，看样子已经快追上佐助了。	10069	10071	8	1	100	100021	100470	100470	100470	-1	101000	-1	0	-1	167	1190	1	1	-1	17	13	10	0	-1	18	denglu1	GD011	150
10071	奇袭忍者	终于追上音忍了，大家已经决定好用奇袭了。	10070	10072	8	1	100	100021	100470	100470	100470	-1	101000	-1	0	-1	167	1190	1	1	-1	18	13	10	0	-1	18	state	GD011	150
10072	多由也	多有也的通灵术很强，这样看必然是一场苦战呀。	10071	10073	8	1	12	101551	100472	100472	100471	-1	101001	-1	0	-1	176	1710	1	1	10072	dizi_101551	13	10	0	-1	19	denglu1	GD012	150
10073	鬼童丸	使用蜘蛛束缚术的家伙，必须想办法快点打倒他。	10072	10074	8	1	12	100022	100472	101550	100472	-1	101001	-1	0	-1	176	1710	1	1	10073	dizi_101550	13	10	0	-1	19	state	GD012	150
10074	君麻吕	拥有最强身体的君麻吕是个很麻烦的家伙，但是为了当初的承诺和拼上性命的伙伴，一定要打败他呀。	10073	10075	8	1	5	101551	100472	101550	101549	-1	101522	-1	0	-1	186	2750	1	1	10074	dizi_101522	13	10	1	-1	20	denglu1	GD013	200
10075	雾忍叛忍	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10074	10076	9	1	100	100023	100473	100473	100473	-1	101002	-1	0	-1	186	1370	1	1	-1	19	13	10	0	-1	20	state	GD011	150
10076	雾忍叛忍	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10075	10077	9	1	100	100023	100473	100473	100473	-1	101002	-1	0	-1	186	1370	1	1	-1	20	13	10	0	2	20	denglu1	GD011	150
10077	雾忍叛忍	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10076	10078	9	1	100	100023	100473	100473	100473	-1	101002	-1	0	-1	186	1370	1	1	-1	21	13	10	0	-1	20	state	GD011	150
10078	雾忍叛忍	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10077	10079	9	1	100	100023	100473	101591	100473	-1	101002	-1	0	-1	186	1370	1	1	-1	22	13	10	0	-1	20	denglu1	GD011	150
10079	兰丸	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10078	10080	9	1	12	101598	100474	100474	100474	-1	101003	-1	0	-1	195	1950	1	1	10079	dizi_101598	13	10	0	-1	21	state	GD012	150
10080	黑锄忍者	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10079	10081	9	1	100	100024	100475	100475	100475	-1	101004	-1	0	-1	195	1460	1	1	-1	23	13	10	0	-1	21	denglu1	GD011	150
10081	黑锄忍者	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10080	10082	9	1	100	100024	100475	100475	100475	-1	101004	-1	0	-1	195	1460	1	1	-1	24	13	10	0	-1	21	state	GD011	150
10082	黑锄忍者	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10081	10083	9	1	100	100024	100475	100475	100475	-1	101004	-1	0	-1	195	1460	1	1	-1	25	13	10	0	-1	21	denglu1	GD011	150
10083	黑锄忍者	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10082	10084	9	1	100	100024	100475	100475	100475	-1	101004	-1	0	-1	195	1460	1	1	-1	26	13	10	0	-1	21	state	GD011	150
10084	辛子	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10083	10085	9	1	12	100025	100476	101540	100476	-1	101005	-1	0	-1	204	2060	1	1	10084	dizi_101540	13	10	0	-1	22	denglu1	GD012	150
10085	黑锄族长	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10084	10086	9	1	12	100025	100476	100476	100476	-1	101537	-1	0	-1	204	2060	1	1	10085	dizi_101537	13	10	0	-1	22	state	GD012	150
10086	黑锄雷牙	当黑锄雷牙知道兰丸为了救他而放弃生命时，几乎都要疯了，以至于利用雷电之力来消灭鸣人一伙。	10085	10087	9	1	5	100026	101537	100477	101540	-1	101532	-1	0	-1	213	3250	1	1	10086	dizi_101532	13	10	1	-1	23	denglu1	GD013	200
10087	三大波中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10086	10088	10	1	100	100027	100478	100478	100478	101006	-1	101006	0	-1	223	1720	1	1	-1	27	13	10	0	-1	24	state	GD011	150
10088	大片中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10087	10089	10	1	100	100027	100478	100478	100478	101006	-1	101006	0	-1	223	1720	1	1	-1	28	13	10	0	2	24	denglu1	GD011	150
10089	奋战中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10088	10090	10	1	100	100028	100479	100479	100479	101007	-1	101007	0	-1	223	1720	1	1	-1	29	13	10	0	-1	24	state	GD011	150
10090	又遇中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10089	10091	10	1	100	100028	100479	100479	100479	101007	-1	101007	0	-1	223	1720	1	1	-1	30	13	10	0	-1	24	denglu1	GD011	150
10091	干柿鬼鲛	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10090	10092	10	1	12	101555	100480	100480	100480	101008	-1	101008	0	-1	232	2410	1	1	10091	dizi_101555	13	10	0	-1	25	state	GD012	150
10092	又遇中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10091	10093	10	1	100	100029	100480	100480	100480	101008	-1	101008	0	-1	232	1805	1	1	-1	0	13	10	0	-1	25	denglu1	GD011	150
10093	三大波中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10092	10094	10	1	100	100029	100480	100480	100480	101008	-1	101008	0	-1	232	1805	1	1	-1	1	13	10	0	-1	25	state	GD011	150
10094	更多中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10093	10095	10	1	100	100029	100480	100480	100480	101008	-1	101008	0	-1	232	1805	1	1	-1	2	13	10	0	-1	25	denglu1	GD011	150
10095	还是中忍	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10094	10096	10	1	100	100029	100480	100480	100480	101008	-1	101008	0	-1	232	1805	1	1	-1	3	13	10	0	-1	25	state	GD011	150
10096	宇智波鼬	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10095	10097	10	1	12	100030	100481	101529	100481	101009	-1	101009	0	-1	241	2520	1	1	10096	dizi_101529	13	10	0	-1	26	denglu1	GD012	150
10097	干柿鬼鲛	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10096	10098	10	1	12	100030	100481	-1	100481	101009	101544	101009	0	-1	241	2520	1	1	10097	dizi_101544	13	10	0	-1	26	state	GD012	150
10098	宇智波鼬	晓组织开始了尾兽兵器计划，开始抓人力柱，干柿鬼鲛和宇智波鼬来到木叶，准备抓取九尾。	10097	10099	10	1	5	101555	101529	101544	100482	101541	-1	101010	0	-1	251	3950	1	1	10098	dizi_101529	13	10	1	-1	27	denglu1	GD013	200
10099	一群中忍	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10098	10100	11	1	100	100031	100483	100483	100483	101011	-1	101011	0	-1	260	2040	1	1	-1	4	13	10	0	-1	28	state	GD021	150
10100	还是中忍	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10099	10101	11	1	100	100032	100484	101570	100484	101012	-1	101012	0	-1	260	2040	1	1	-1	5	13	10	0	-1	28	denglu1	GD021	150
10101	还是中忍	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10100	10102	11	1	100	100031	100483	100483	100483	101011	-1	101011	0	-1	260	2040	1	1	-1	6	13	10	0	-1	28	state	GD021	150
10102	迪达拉	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10101	10103	11	1	12	100033	100483	101573	100483	101011	-1	101011	0	-1	260	2720	1	1	10102	dizi_100033	13	10	0	2	28	denglu1	GD022	150
10103	大片中忍	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10102	10104	11	1	100	100031	100483	100483	100483	101011	-1	101011	0	-1	260	2040	1	1	-1	7	13	10	0	-1	28	state	GD021	150
10104	好多中忍	晓组织艺术组合 迪达拉和赤砂之蝎前往砂之国抓取一尾人力柱我爱罗。	10103	10105	11	1	100	100033	100483	101572	100483	101011	-1	101011	0	-1	260	2040	1	1	-1	8	13	10	0	-1	28	denglu1	GD021	150
