英雄ID	英雄名称	形象ID	品质	等级	默认武学ID；等级	性别（1：男；2：女）	气血	武力	内力	身法	防御	命中	闪避	暴击	抗暴	会心	武学释放概率	武学破坏力百分比	被攻击时化解概率	化解时减伤伤害	攻击时被化解概率	被化解时损失伤害	初始金刚	初始无序	初始反击	普通攻击效果	普通攻击帧频
100010	下忍	guai2	1	23	100003;1	1	382	151	149	143	61	0	2	0	12	12	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100011	下忍	guai5	1	28	300001;1	2	476	188	186	182	78	0	2	0	15	15	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100012	手鞠	shouju	1	28	100002;1	1	476	188	186	182	78	0	2	0	15	15	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100013	下忍	guai2	1	30	200003;1	2	558	205	202	200	145	0	2	0	16	16	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100014	下忍	guai5	1	33	100002;1	1	615	224	222	221	159	0	2	0	17	17	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100015	下忍	guai2	1	35	100002;1	2	653	241	237	237	168	0	2	0	18	18	100	10	10	10	10	10	10	10	10	picture_6_huangse_shouji	8
100016	下忍	guai5	1	38	200003;1	1	704	292	279	374	181	0	2	0	20	20	100	10	10	10	10	10	10	10	10	effect_can	24
100017	下忍	guai2	1	38	200003;1	2	704	291	279	374	181	0	2	0	20	20	100	10	10	10	10	10	10	10	10	effect_can	24
100018	下忍	guai5	1	38	300002;1	1	704	291	279	374	181	0	2	0	20	20	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100019	八歧大蛇	bawei	1	40	300002;1	2	735	304	291	389	188	0	3	0	21	21	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100020	中忍	guai1	1	43	100003;1	1	781	323	310	412	200	0	3	0	22	22	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100021	中忍	guai6	1	45	300002;1	2	812	335	323	428	207	0	3	0	23	23	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100022	中忍	guai1	1	48	300002;1	1	858	355	342	451	219	0	3	0	25	25	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100023	中忍	guai6	1	50	300003;1	2	889	368	355	466	226	0	3	0	26	26	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100024	中忍	guai1	1	53	200003;2	1	935	388	373	528	238	0	3	0	27	27	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100025	中忍	guai6	1	55	100002;2	2	965	399	386	545	245	0	3	0	28	28	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100026	中忍	guai1	1	58	200003;2	1	1012	417	405	570	256	0	3	0	30	30	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100027	中忍	guai6	1	60	300001;2	2	1042	430	418	587	264	0	4	0	31	31	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100028	中忍	guai1	1	60	200001;2	1	1042	431	418	587	264	0	4	0	31	31	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100029	中忍	guai6	1	63	300002;2	2	1089	449	437	612	275	0	4	0	32	32	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100030	中忍	guai1	1	65	300002;2	1	1119	461	449	628	283	0	4	0	33	33	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100031	中忍	guai6	1	70	100004;2	2	1196	493	481	670	302	0	4	0	36	36	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100032	中忍	guai1	1	70	200003;2	1	1196	493	481	670	302	0	4	0	36	36	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100033	迪达拉	didala	1	70	300000;2	2	1196	493	481	670	302	0	4	0	36	36	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100034	千代婆婆	qiandaipopo	1	73	200002;2	1	1242	512	500	695	313	0	4	0	37	37	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100035	中忍	guai6	1	73	100004;2	2	1242	513	500	695	313	0	4	0	37	37	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100036	中忍	guai1	1	73	300000;2	1	1242	513	500	695	313	0	4	0	37	37	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100037	中忍	guai6	1	75	300000;2	2	1333	526	512	712	321	0	4	0	38	38	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100038	中忍	guai1	1	75	100004;2	1	1333	525	512	712	321	0	4	0	38	38	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100039	中忍	guai6	1	75	100002;2	2	1333	525	512	712	321	0	4	0	38	38	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100040	中忍	guai1	1	80	300001;2	1	1413	556	544	753	340	0	5	0	41	41	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100041	中忍	guai6	1	80	300002;2	2	1413	557	544	753	340	0	5	0	41	41	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100042	中忍	guai1	1	83	300000;2	1	1462	576	563	778	351	0	5	0	42	42	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100043	中忍	guai6	1	90	100004;2	2	1575	620	607	837	378	0	5	0	46	46	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100044	飞段	feiduan	1	93	300000;2	1	1623	638	626	862	389	0	5	0	47	47	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100045	中忍	guai1	1	93	300002;2	2	1623	639	626	862	389	0	5	0	47	47	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100046	中忍	guai6	1	93	100002;2	1	1623	639	626	862	389	0	5	0	47	47	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100047	中忍	guai1	1	95	200001;2	2	1655	652	638	878	397	0	5	0	48	48	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100048	中忍	guai6	1	95	100001;2	1	1655	652	638	878	397	0	5	0	48	48	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100049	中忍	guai1	1	100	100001;2	2	1736	683	670	920	416	0	6	0	51	51	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100050	林次	guai6	1	100	300002;2	1	1736	682	670	920	416	0	6	0	51	51	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100051	中忍	guai6	1	100	100003;2	2	1736	684	670	920	416	0	6	0	51	51	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100052	中忍	guai1	1	103	300002;3	1	1784	701	689	945	427	0	6	0	52	52	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100053	中忍	guai6	1	105	200001;3	2	1817	714	701	962	435	0	6	0	53	53	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100054	香磷	xianglin	1	110	200003;3	1	2185	784	785	1062	490	0	6	0	56	56	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100055	鬼灯水月	guidengmanyue	1	113	200003;3	2	2241	804	805	1089	502	0	6	0	57	57	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100056	天秤重吾 	tianpingzhongwu	1	115	200003;3	1	2278	815	819	1106	510	0	6	0	58	58	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100057	上忍	guai3	1	120	100002;3	2	2371	850	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100058	上忍	guai4	1	120	100002;3	1	2371	849	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	effect_can	24
100059	上忍	guai3	1	120	300003;3	2	2371	849	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	effect_can	24
100060	上忍	guai4	1	120	100002;3	1	2371	849	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100061	上忍	guai3	1	120	100002;3	2	2371	849	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100062	上忍	guai4	1	120	100002;3	1	2371	850	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100063	上忍	guai3	1	120	300003;3	2	2371	849	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100064	上忍	guai4	1	120	300003;3	1	2371	848	852	1150	531	0	7	0	61	61	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100065	蛤蟆力	tiebihama	1	123	200003;3	2	2427	870	873	1177	543	0	7	0	62	62	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100066	上忍	guai3	1	123	100002;3	1	2427	869	873	1177	543	0	7	0	62	62	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100067	上忍	guai4	1	123	200003;3	2	2427	870	873	1177	543	0	7	0	62	62	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100068	上忍	guai3	1	125	100004;3	1	2464	881	886	1195	551	0	7	0	63	63	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100069	上忍	guai4	1	125	100004;3	2	2464	883	886	1195	551	0	7	0	63	63	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100070	上忍	guai3	1	125	100004;3	1	2464	881	886	1195	551	0	7	0	63	63	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100071	蛤蟆文太	tiebihama	1	128	100004;3	2	2520	903	907	1221	563	0	7	0	65	65	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100072	上忍	guai4	1	130	200003;3	1	2558	916	920	1239	571	0	7	0	66	66	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100073	上忍	guai3	1	130	200003;3	2	2558	915	920	1239	571	0	7	0	66	66	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100074	上忍	guai4	1	130	200003;3	1	2558	915	920	1239	571	0	7	0	66	66	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100075	上忍	guai3	1	130	300000;3	2	2558	916	920	1239	571	0	7	0	66	66	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100076	上忍	guai4	1	130	300000;3	1	2558	915	920	1239	571	0	7	0	66	66	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100077	畜生道	chushengdao	1	133	300000;3	2	2613	935	941	1265	584	0	7	0	67	67	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100078	上忍	guai3	1	133	100002;3	1	2613	934	941	1265	584	0	7	0	67	67	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100079	上忍	guai4	1	133	100002;3	2	2613	934	941	1265	584	0	7	0	67	67	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100080	人间道	renjiandao1	1	135	300000;3	1	2651	948	954	1283	592	0	7	0	68	68	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100081	上忍	guai3	1	140	100003;3	2	2744	982	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100082	上忍	guai4	1	140	300002;3	1	2744	983	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100083	上忍	guai3	1	140	300002;3	2	2744	982	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100084	上忍	guai4	1	140	300002;3	1	2744	983	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100085	上忍	guai3	1	140	200001;3	2	2744	981	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100086	上忍	guai4	1	140	200001;3	1	2744	981	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100087	上忍	guai3	1	140	300002;3	2	2744	981	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100088	上忍	guai4	1	140	200001;3	1	2744	981	988	1327	612	0	8	0	71	71	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100089	上忍	guai3	1	143	300001;3	2	2800	1002	1008	1353	625	0	8	0	72	72	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100090	上忍	guai4	1	143	300000;3	1	2800	1000	1008	1353	625	0	8	0	72	72	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100091	上忍	guai3	1	143	300000;3	2	2800	1000	1008	1353	625	0	8	0	72	72	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100092	上忍	guai4	1	143	300001;3	1	2800	1002	1008	1353	625	0	8	0	72	72	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100093	上忍	guai3	1	150	200001;3	2	2930	1047	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100094	上忍	guai4	1	150	200001;3	1	2930	1048	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100095	上忍	guai3	1	150	300002;3	2	2930	1048	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100096	上忍	guai4	1	150	200001;3	1	2930	1047	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100097	上忍	guai3	1	150	200001;3	2	2930	1049	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100098	上忍	guai4	1	150	300002;3	1	2930	1049	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100099	上忍	guai3	1	150	300002;3	2	2930	1047	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100100	上忍	guai4	1	150	200001;3	1	2930	1049	1056	1415	653	0	8	0	76	76	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100101	上忍	guai3	1	153	100002;4	2	2986	1069	1076	1442	666	0	8	0	77	77	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100102	上忍	guai4	1	153	100002;4	1	2986	1069	1076	1442	666	0	8	0	77	77	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100103	上忍	guai3	1	153	300003;4	2	2986	1068	1076	1442	666	0	8	0	77	77	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100104	上忍	guai4	1	153	100002;4	1	2986	1067	1076	1442	666	0	8	0	77	77	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100105	上忍	guai3	1	155	300002;4	2	3024	1081	1089	1459	674	0	8	0	78	78	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100106	上忍	guai4	1	155	300002;4	1	3024	1080	1089	1459	674	0	8	0	78	78	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100107	上忍	guai3	1	160	300002;4	2	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100108	上忍	guai4	1	160	300002;4	1	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100109	上忍	guai3	1	160	100003;4	2	3117	1115	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100110	上忍	guai4	1	160	300002;4	1	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100111	上忍	guai3	1	160	300002;4	2	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100112	上忍	guai4	1	160	300002;4	1	3117	1114	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100113	上忍	guai3	1	160	200001;4	2	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100114	上忍	guai4	1	160	300002;4	1	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	effect_can	24
100115	上忍	guai3	1	160	300002;4	2	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	effect_can	24
100116	上忍	guai4	1	160	300002;4	1	3117	1113	1123	1503	694	0	9	0	81	81	100	10	10	10	10	10	10	10	10	effect_can	24
100117	上忍	guai3	1	163	300002;4	2	3173	1135	1144	1530	707	0	9	0	82	82	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100118	上忍	guai4	1	163	100003;4	1	3173	1133	1144	1530	707	0	9	0	82	82	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100119	上忍	guai3	1	163	100003;4	2	3173	1133	1144	1530	707	0	9	0	82	82	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100120	上忍	guai4	1	163	100003;4	1	3173	1133	1144	1530	707	0	9	0	82	82	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100121	上忍	guai3	1	163	300002;4	2	3173	1135	1144	1530	707	0	9	0	82	82	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100122	上忍	guai4	1	170	100003;4	1	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100123	上忍	guai3	1	170	100003;4	2	3303	1180	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100124	上忍	guai4	1	170	200000;4	1	3303	1180	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100125	上忍	guai3	1	170	200000;4	2	3303	1180	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100126	上忍	guai4	1	170	100003;4	1	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100127	上忍	guai3	1	170	100003;4	2	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100128	上忍	guai4	1	170	100003;4	1	3303	1180	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100129	上忍	guai3	1	170	100003;4	2	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100130	上忍	guai4	1	170	100003;4	1	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100131	上忍	guai3	1	170	100003;4	2	3303	1180	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100132	上忍	guai4	1	170	100003;4	1	3303	1179	1191	1592	735	0	9	0	86	86	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100133	上忍	guai3	1	173	100002;4	2	3359	1201	1211	1618	747	0	9	0	87	87	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100134	上忍	guai4	1	173	100002;4	1	3359	1200	1211	1618	747	0	9	0	87	87	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100135	上忍	guai3	1	173	100002;4	2	3359	1199	1211	1618	747	0	9	0	87	87	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100136	上忍	guai4	1	173	200003;4	1	3359	1199	1211	1618	747	0	9	0	87	87	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100137	上忍	guai3	1	173	100003;4	2	3359	1201	1211	1618	747	0	9	0	87	87	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100138	二代土影	erdaituying	1	175	200000;4	1	3396	1215	1225	1636	756	0	9	0	88	88	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100139	上忍	guai4	1	175	100003;4	2	3396	1215	1225	1636	756	0	9	0	88	88	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100140	上忍	guai3	1	175	200000;4	1	3396	1213	1225	1636	756	0	9	0	88	88	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100141	二代水影	erdaishuiying	1	178	200000;4	2	6792	2426	1245	1662	1512	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100142	上忍	guai4	1	178	300002;4	1	3452	1234	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100143	上忍	guai3	1	178	200001;4	2	3452	1234	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100144	上忍	guai4	1	178	200001;4	1	3452	1234	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100145	上忍	guai3	1	178	300001;4	2	3452	1233	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100146	宇智波斑	yuzhiboban	1	178	300000;4	1	3452	1234	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100147	上忍	guai4	1	178	300002;4	2	3452	1232	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100148	上忍	guai3	1	178	300002;4	1	3452	1232	1245	1662	768	0	9	0	90	90	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100149	下忍	guai2	1	3	310009;1	2	205	81	69	148	74	6	12	6	12	12	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100150	下忍	guai5	1	5	310008;1	1	247	94	87	171	86	6	13	6	13	13	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100151	下忍	guai2	1	5	310007;1	2	247	94	87	171	86	6	13	6	13	13	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100152	下忍	guai5	1	8	310002;1	1	310	117	114	204	104	8	16	8	16	16	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100153	下忍	guai2	1	8	310006;1	2	310	117	114	204	104	8	16	8	16	16	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100154	下忍	guai5	1	8	310002;1	1	310	118	114	204	104	8	16	8	16	16	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100155	下忍	guai2	1	13	310000;1	2	416	156	159	259	133	9	19	9	19	19	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100156	下忍	guai5	1	13	310003;1	1	416	155	159	259	133	9	19	9	19	19	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100157	下忍	guai2	1	13	310008;1	2	416	156	159	259	133	9	19	9	19	19	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100158	下忍	guai5	1	20	310000;1	1	580	216	228	346	179	12	25	12	25	25	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100159	下忍	guai2	1	23	310003;1	2	654	244	259	385	199	13	27	13	27	27	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100160	下忍	guai5	1	28	310006;1	1	781	291	312	453	234	15	31	15	31	31	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100161	手鞠	shouju	1	28	310010;1	2	781	293	312	453	234	15	31	15	31	31	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100162	下忍	guai2	1	30	310003;1	1	833	313	333	481	249	16	32	16	32	32	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100163	下忍	guai5	1	33	310004;1	2	912	342	367	523	270	17	34	17	34	34	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100164	下忍	guai2	1	35	310007;1	1	966	361	389	552	285	18	36	18	36	36	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100165	下忍	guai5	1	38	310004;1	2	1048	394	423	596	308	19	38	19	38	38	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100166	下忍	guai2	1	38	310007;1	1	1048	392	423	596	308	19	38	19	38	38	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100167	下忍	guai5	1	38	310001;1	2	1048	392	423	596	308	19	38	19	38	38	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100168	八歧大蛇	bawei	1	40	310003;1	1	1104	413	446	626	323	20	40	20	40	40	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100169	中忍	guai1	1	43	310004;1	2	1189	447	481	672	346	21	42	21	42	42	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100170	中忍	guai6	1	45	310002;1	1	1246	468	505	703	362	21	43	21	43	43	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100171	中忍	guai1	1	48	310004;1	2	1334	502	541	750	385	23	46	23	46	46	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100172	中忍	guai6	1	50	310010;1	1	1393	526	565	783	402	23	47	23	47	47	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100173	中忍	guai1	1	53	310007;2	2	1472	553	598	825	423	24	49	24	49	49	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
