技能ID	技能名	技能图标	技能描述	品质（4甲 3乙 2丙 1丁）	技能等级上限	身价	技能类型（1:外功（体术）、2、内功（忍术）、3、轻功（幻术）、4、心法（密传））	技能类型（1、全体;2、单体、3横扫、4、溅射;5、贯穿）	外攻系数	内功系数	身法系数	初始伤害计算系数	属性加成	初始触发概率	天赋触发概率	触发概率上限	缘分名	缘分弟子	缘分加成	缘分触发概率增加	属性差影响触发武学系数	技能内置冷却（回合数）	出手动作路径类型（0：原地;1 到某一列前;2 到目标前;3 到敌方整体区域;4直跳;5斜跳）	出手动作ID	受击动作ID	发起特效播放类型（0：群体攻击的飞行特效(一对多);1：单体攻击（一对一）;2：召唤群攻斜45（一对多）;3：为召唤群攻90度（一对多）;4：有踢和打的感觉（多特效对一）5：单体攻击的加强版本（多特效对一目标））6:到敌方正中心	出手特效类型（1、增加显示特效;2为替换显示特效）	发起动作ID	技能升级经验	技能升级经验成长	技能携带经验	技能携带经验成长	技能效果图片	真气占用	技能残片数量	发起效类型（1、不隐藏;2隐藏）	飞行效类型（1、不隐藏;2隐藏）	受击效类型（1、不隐藏;2隐藏）	调用特效ID
900007	创造再生	jineng83	"给予任何人生命,极难释放"	4	6	432;388	1	1	9	1	0	8;7.2	-1	17	17	17	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9900007
100001	狼牙伐锥	jineng78	"以查克拉刀乱斩敌人,极易释放"	1	6	128;45	1	2	7	3	0	7;2.5	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	119	83	40	28	-1	15	2	1	1	1	9100001
110001	炎弹	jineng8	能够发挥直接对施术对象展开攻击，并给予施术对象火焰伤害，极易释放	2	6	192;130	1	2	6	0	4	10;6.8	-1	48	48	48	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110001
110002	水铁炮	jineng123	"将手作手枪状，从食指尖射出有如子弹的液体，射击敌人,较难释放"	2	6	192;62	1	2	7	3	0	22;7.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110002
110004	瀑布	jineng64	"施术者周围的水呈瀑布状，以猛烈的水量冲击敌人,较易释放"	2	6	192;122	1	2	7	3	0	13;8.3	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110004
110005	泡沫乱波	jineng54	"喷出大量的泡沫,制造困扰对手的环境,较易释放"	2	6	192;61	1	2	7	3	0	21;6.7	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110005
110006	水乱波	jineng37	"吐出水波,将敌人冲走，查克拉越强大 伤害越大,极易释放"	2	6	192;107	1	2	7	3	0	10;5.6	-1	50	50	50	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110006
110007	六道生灵	jineng125	不需要签订血之契约的通灵之术，依靠瞳力控制通灵兽，极易释放	4	6	432;167	2	2	2	8	0	42;16.3	-1	45	45	45	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9110007
110008	大突破	jineng57	"组合忍术，用风遁将火球变的更强大,热度更高,极易释放"	2	6	192;89	1	2	7	0	3	9;4.2	-1	66	66	66	-1	-1	-1	0	0	0	2	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110008
110009	土中映鱼	jineng115	"像水里的鱼一样任意游动在不注意的角度发动攻击,极易释放"	2	6	192;137	1	2	8	2	0	6;4.3	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110009
110011	裂土转掌	jineng44	"犹如地震一般震塌地面让对手无法躲藏,极易释放"	2	6	192;68	1	2	6	4	0	11;3.9	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9110011
120000	潜影蛇手	jineng42	"以藏在袖口的数条蛇出其不意地偷袭对手！蛇群会以咬的或缠身的方法对付敌人,较易释放"	3	6	288;99	1	2	7	3	0	30;10.4	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	1	2	attack	267	186	90	63	-1	50	5	1	1	1	9120000
120001	椿之舞	jineng80	"君麻吕从自己的左臂抽出一把骨刀作为武器，加上精确柔软的体术作出的多段连续攻击,极易释放"	3	6	288;259	1	2	7	0	3	9;8.1	-1	60	60	60	-1	-1	-1	0	0	0	0	attack	attack	1	2	attack	267	186	90	63	-1	50	5	1	1	1	9120001
120002	龙炎放歌	jineng89	"吐出数条火龙，威力比豪龙火更甚,极易释放"	3	6	288;91	1	2	7	3	0	23;7.3	-1	48	48	48	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9120002
120003	龙炎歌	jineng88	"吐出几条火龙，威力比豪火球更甚,极易释放"	3	6	288;104	1	2	7	3	0	18;6.5	-1	57	57	57	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9120003
120010	双升龙	jineng126	"把两个卷轴展开变为两个龙型，散步大量忍具进行无差别攻击,极易释放"	3	6	288;130	1	2	8	0	2	13;5.9	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9120010
120011	土流壁	jineng45	"阻挡敌人的后路,这样他就没办法后退了,就躲不开正面一击了,较难释放"	3	6	288;230	1	2	6	4	0	20;16	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9120011
130005	千鸟刃	jineng151	"低吟的雷鸣之歌贯穿万物的苍白色利刃,极易释放"	4	6	432;142	1	2	6	0	4	38;12.5	-1	47	47	47	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9130005
130008	地爆天星	jineng138	"传说六道仙人创造月球以封印十尾时所用之术,极难释放"	4	6	432;203	1	2	8	2	0	68;32.1	-1	18	18	18	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9130008
130010	雷分身	jineng86	"消失时可给予对手雷电伤害,极难释放"	4	6	432;318	1	2	6	4	0	60;44.3	-1	16	16	16	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9130010
130011	百豪之术	jineng7	"解开【阴封印】使咒印遍布全身，受到伤害瞬间开始持续迅速的自动再生不影响攻击节奏,极易释放"	4	6	432;198	1	2	7	0	3	27;12.4	-1	50	50	50	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9130011
320009	水龙弹术	jineng108	"把大量的查克拉灌入水中，再以查克拉凝聚水为巨龙形以攻击敌人,较易释放"	2	6	192;84	1	2	7	3	0	15;6.6	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9320009
800005	樱花冲	jineng2	"从体内提炼最大限度的查克拉，集中于右拳并一瞬间爆发出来 ，冲向目标,较易释放"	3	6	192;84	1	2	7	3	0	15;10	-1	44	44	44	-1	-1	-1	0	0	0	2	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9800005
800008	粘土巨人	jineng21	"从嘴中吐出的巨大的粘土巨人，攻防兼备。其防御力之强可以抵挡迪达拉起爆粘土,极易释放"	3	6	288;146	1	2	8	0	2	12;6.1	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9800008
800009	土隆枪	jineng2	"单手盖在地面，注入土属性查克拉，从地底窜出无数尖锐的土刺攻击敌人,极易释放"	3	6	288;164	1	2	8	0	2	11;6.3	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9800009
800010	水铁炮之术	jineng160	"将手作手枪状，从食指尖射出有如子弹的液体，射击敌人,较易释放"	2	6	192;115	1	2	7	3	0	12;7.2	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800010
800013	针千本	jineng71	把头发变硬将其发射，如暴雨般迅速，较易释放	2	6	192;70	1	2	7	3	0	17;6.2	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800013
800014	地蜘蛛缝	jineng87	"把“长刀缝针”的多条钢线藏于地下只要敌人身处其中，发动此招钢线就会缝合，从而切断敌人双脚,较易释放"	2	6	192;70	1	2	7	3	0	17;6.2	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800014
800015	兜割	jineng90	"能将所有的防御击溃,较易释放"	2	6	192;145	1	2	7	3	0	10;7.6	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800015
800016	落雷	jineng145	将双刀交叉，通过刀上的雷电，对周围的对手发出伤害极大的攻击，较易释放	2	6	192;76	1	2	7	3	0	16;6.4	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800016
800017	灵化术	jineng150	"将自己灵化成活的灵魂，无视距离穿梭并杀害敌人的忍术,极易释放"	3	6	288;210	1	2	8	0	2	10;7.3	-1	60	60	60	-1	-1	-1	0	0	0	0	attack	attack	1	2	attack	267	186	90	63	-1	50	5	1	1	1	9800017
800018	操袭刃	jineng6	以查克拉丝操纵苦无进行偷袭，极易释放	1	6	128;74	1	2	7	3	0	5;2.9	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	119	83	40	28	-1	15	2	1	1	1	9800018
800019	风魔手里剑	jineng61	投出风魔手里剑攻击敌方，极易释放	1	6	128;47	1	2	7	0	3	7;2.6	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	119	83	40	28	-1	15	2	1	1	1	9800019
800020	荆棘杀之术	jineng66	藤条般的木头束缚住敌人，极易释放	1	6	128;57	1	2	7	3	0	6;2.7	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	119	83	40	28	-1	15	2	1	1	1	9800020
100002	苦无	jineng123	"丢出苦无，击杀敌人,较易释放"	1	6	128;83	1	3	7	3	0	4;2.6	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9100002
120004	火龙炎弹	jineng88	"在体内聚集大量的查克拉，并将其高度压缩成炎龙形态，巧妙的操纵炎龙来袭击眼前的敌人,较难释放"	3	6	288;100	1	3	8	2	0	22;7.7	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120004
120005	头刻苦	jineng5	"落在地面的小火球，瞬间扩大燃烧范围并将周围一切吞噬的忍术,极易释放"	3	6	288;205	1	3	8	2	0	7;5	-1	45	45	45	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120005
120007	毒锥地狱	jineng81	"精确无比百连发，用傀儡围着对手高速旋转，打开乌鸦、黑蚁的胳膊向敌人发射上百支毒针,较难释放"	3	6	288;103	1	3	7	0	3	17;6.1	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120007
130002	纸海封印	jineng30	"将事先藏好在水中的6000亿引爆符分开，纸海一分为二，让敌人坠入，然后操控引爆符,较难释放"	4	6	432;351	1	3	7	3	0	15;12.2	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130002
130006	千鸟锐枪	jineng149	"将的查克拉实体化变成枪的形状,较难释放"	4	6	432;183	1	3	7	3	0	28;11.9	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130006
130009	幻龙九封尽	jineng30	"集结最强的十名忍者作为施术者，以所有人的意识启动封印像,较难释放"	4	6	432;148	1	3	6	4	0	38;13.1	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130009
800001	迦楼罗	jineng33	把肉眼看不见的极小型炸弹，散布在空气之中。敌人将炸弹吸入体内后，彻底破坏整个生物体，较难释放	4	6	432;152	1	4	7	3	0	22;7	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9800001
800002	别天神	jineng36	可在不知不觉当中随意操纵别人，并永久性的改变别人的意志。被誉为最强幻术，较难释放	4	6	432;137	1	3	6	4	0	40;12.7	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9800002
110003	龙火	jineng161	"借助条形物体放出直线型的火焰，速度和威力都是一流,较易释放"	2	6	192;88	1	4	6	0	4	5;2.3	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9110003
110010	土陆归来	jineng14	"将手抠入地面瞬间制造一面土墙，阻击敌人,极易释放"	2	6	192;128	1	4	7	0	3	3;2	-1	45	45	45	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9110010
120006	虫沼	jineng65	把目标脚下的地面化作由寄坏虫架构而成的虫沼，借此将目标吞入其中，较难释放	3	6	288;112	1	4	7	0	3	10;3.9	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120006
120008	土牢堂无	jineng21	"将敌人关在土牢之中，土柱不断攻击敌人的忍术,较易释放"	3	6	288;127	1	4	7	3	0	7;3.1	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120008
120009	水鲛弹	jineng112	"破坏力相当大的忍术，并可以吸收对手的查克拉,较易释放"	3	6	288;148	1	4	8	2	0	6;3.1	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9120009
130001	风之刃	jineng77	"是在手上聚集急速旋转的风作为剑的一种风遁忍术,较易释放"	4	6	432;188	1	4	8	2	0	11;4.8	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130001
130003	八卦六十四掌	jineng72	以359度全方位的白眼，加上置对手于八卦阵之内，用查克拉洞穿其身上六十四个主要穴位攻击，较难释放	3	6	288;130	1	4	7	3	0	6;5.5	-1	25	25	25	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9130003
130004	黄泉沼	jineng115	"把大地变粘稠的稀泥,藉此制造出大片的沼泽,较难释放"	4	6	432;295	1	4	7	0	3	12;8.2	-1	25	25	25	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9130004
500015	超音震雷遁刀	jineng39	"在刀上注入雷遁查克拉，使之具有超越风遁的的穿透力,较难释放"	3	6	288;112	1	4	9	0	1	9;3.5	-1	30	30	30	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9500015
100004	心中斩首	jineng29	"将对手拖入土中活埋的土遁之术,较难释放"	1	6	128;70	1	5	7	0	3	4;2.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9100004
110000	凤仙火	jineng13	"将查克拉提到口中，并喷出，此术攻击轨道可以由查克拉丝来控制，呈散花状,较易释放"	2	6	192;126	1	5	7	0	3	5;3.3	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9110000
210002	如雨露千本	jineng70	一千枚铁针在查克拉的控制下 攻击敌人，全无死角，较难释放	2	6	192;88	2	1	1	9	0	5;2.3	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210002
210003	土龙隐	jineng147	黏土形成的龙，藏于地下，随忍者控制而起爆，较难释放	2	6	192;140	2	1	4	6	0	3;2.2	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210003
210007	烈风掌	jineng51	长门小时候自来也教他的忍术，较难释放	2	6	192;100	2	1	3	7	0	4;2.1	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210007
220007	土流城壁	jineng14	"制造一个高墙。阻挡敌人的后路,这样他就没办法后退了,就躲不开正面一击了，较难释放"	3	6	288;307	2	1	4	6	0	3;3.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220007
220008	雷鸟	jineng116	此术曾斩断了天上的雷电，较难释放	3	6	288;86	2	1	1	9	0	9;2.7	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220008
220011	五食鲛	jineng114	"分别创造五条水之鲨鱼,活跃于水中吞噬对手，较难释放"	3	6	288;102	2	1	0	10	0	9;3.2	-1	32	32	32	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220011
230002	砂瀑大葬	jineng75	"此忍术效果震撼. 攻击范围广，无需结印 只需将双手按在地上即可 ,较难释放"	4	6	432;151	2	1	3	7	0	14;4.9	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230002
230011	三日月之舞	jineng136	"瞬间分出2个影分身,同时影分身和本体同时分出10个分身攻击对方，较难释放"	4	6	432;151	2	1	4	6	0	14;4.9	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230011
500011	天照	500011	在万花筒写轮眼聚焦的地方燃起来自太阳的火焰，将一切烧尽，较难释放	4	6	432;232	3	1	0	4	6	13;7	-1	25	25	25	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9500011
500020	影分身	jineng36	影分身被列为禁术，因为影分身需要平均分配查克拉，可能会导致忍者查克拉用尽而亡。当影分身受到一点点伤害时，就会立刻消失，较易释放	3	6	288;172	2	1	6	4	0	4;2.4	-1	35	40	40	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9500020
200002	白牙之刃	jineng19	"流传于旗木一族的刀法,极易释放"	1	6	128;49	2	2	1	9	0	9;3.5	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	119	83	40	28	-1	15	2	1	1	1	9200002
210000	仙火花	jineng15	"如同一碰就飞弹而出的原仙花种子一样，从施术者口中吐出的火焰向四面八方散开，袭击敌人！,极易释放"	2	6	192;78	2	2	3	7	0	16;6.5	-1	48	48	48	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9210000
210001	蛇睨咒缚	jineng42	"召唤出来的两条大蛇从袖口爬出来,并将眼前的敌人撕碎,极易释放"	2	6	192;62	2	2	2	8	0	20;6.5	-1	47	47	47	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9210001
210004	影首缚颈术	jineng47	利用伸长的影子伸向对手的颈部，直接将对手勒毙，极易释放	2	6	192;132	2	2	3	7	0	8;5.5	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210004
210005	乌鸦分身	jineng67	以乌鸦为媒介施展的分身术，并可利用幻术操控乌鸦进行攻击，极易释放	2	6	192;105	2	2	2	8	0	10;5.5	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	2	attack	143	100	48	34	-1	25	3	1	1	1	9210005
210006	土龙弹	jineng115	"从口中喷出大量的泥土来攻击对手的忍术,极易释放"	2	6	192;92	2	2	2	8	0	11;5.3	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9210006
210008	水饴拿原	jineng28	"将一切触及到其的东西紧紧捉住的桎梏之池！！,极易释放"	2	6	192;71	2	2	1	9	0	20;7.4	-1	46	46	46	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9210008
210011	水分身	jineng137	"只有本体10%能力,不能远离本体,极易释放"	2	6	192;80	2	2	3	7	0	16;6.7	-1	47	47	47	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9210011
220000	大镰鼬	jineng76	攻防一体，将查克拉注入风中形成暴风进行刀砍式攻击，攻击范围广，持续时间长，破坏性强，极易释放	3	6	288;100	2	2	2	8	0	24;8.4	-1	56	56	56	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220000
220001	背部尾刺	jineng46	"从背部的鬼脸型的洞口中伸长出用钢铁做的蝎子尾，可以自由伸长，只要轻轻被擦中就会中毒,极易释放"	3	6	288;190	2	2	0	7	3	21;13.9	-1	49	49	49	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220001
220002	树缚永葬	jineng127	"用巨大的树木缠绕敌人全身后埋葬,较难释放"	3	6	288;108	2	2	1	9	0	49;18.4	-1	28	28	28	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220002
220003	追牙术	jineng1	"召唤出的狗狗从地底钻出,命中敌人,极易释放"	3	6	288;119	2	2	3	7	0	20;8.3	-1	57	57	57	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220003
220006	孢子之术	jineng128	"孢子化为类似于白绝的膨胀物包裹被附体者，吸收被附者的查克拉,极易释放"	3	6	288;205	2	2	0	6	4	15;10.7	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220006
220009	魔镜冰晶	jineng73	在敌人身边凝聚复数的冰镜，透过冰镜的反射，让敌人迷惑本体的位置，借机使用千本刺杀。	3	6	288;164	2	2	0	7	3	35;20	-1	26	26	26	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9220009
230000	阴愈伤灭	jineng63	"发挥让战况变得对自己有利的战斗辅助效果的术,极难释放"	4	6	432;199	2	2	1	9	0	119;55	-1	15	15	15	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9230000
