物品ID	名称	品质	类型（1.装备；2.技能；3.阵法；4.道具）	数量
4200002	残戒	2	1	1
4200003	血戒	2	1	1
4200004	祭戒	2	1	1
4200005	火烈戒	2	1	1
4200006	雷之符	2	1	1
4200007	风之符	2	1	1
4200008	土之符	2	1	1
4300001	水之符	3	1	1
4300002	白鹤报恩牌	3	1	1
4300003	辟毒珠	3	1	1
4300004	武运圭	3	1	1
4300005	戒指の空	3	1	1
4300006	戒指の北	3	1	1
4300007	戒指の三	3	1	1
4300008	戒指の玄	3	1	1
4300009	戒指の玉	3	1	1
4300010	戒指の青	3	1	1
4300011	戒指の南	3	1	1
4300012	戒指の朱	3	1	1
4300013	戒指の白	3	1	1
4300014	戒指の零	3	1	1
4300015	暗之链	3	1	1
4300016	医之坠	3	1	1
4400001	火之意志	4	1	1
4400002	不败饰物	4	1	1
4400003	褊邪项饰	4	1	1
4400004	七窍翠玉	4	1	1
4400005	晓之戒指	4	1	1
4400006	千蝶舞翠	4	1	1
4400007	死亡之链	4	1	1
4400008	四代项链	4	1	1
4400009	影之链	4	1	1
4400010	一代护腕	4	1	1
4400011	二代护腕	4	1	1
4400012	八卦护手	4	1	1
5100001	纤草履	1	1	1
5100002	帆鞋	1	1	1
5100003	纤布履	1	1	1
5100004	护心靴	1	1	1
5100005	望穿履	1	1	1
5100006	破影鞋	1	1	1
5100007	影者之靴	1	1	1
5100008	残踏之靴	1	1	1
5100009	无风靴	1	1	1
5100010	风影踏	1	1	1
5200001	水影革	2	1	1
5200002	雷影之光	2	1	1
5200003	火影履	2	1	1
5200004	土影踵	2	1	1
5200005	血踏	2	1	1
5200006	追忍履	2	1	1
5200007	天乾履	2	1	1
5200008	嗜影靴	2	1	1
5300001	影痕	3	1	1
5300002	残影靴	3	1	1
5300003	暗光踏	3	1	1
5300004	缉碎履	3	1	1
5300005	嗜命鞋	3	1	1
5300006	火冥踏	3	1	1
5300007	血狱	3	1	1
5300008	幻影靴	3	1	1
5300009	噬魔踏	3	1	1
5300010	灵影靴	3	1	1
5300011	影一舞杀	3	1	1
5300012	光影之泣	3	1	1
5300013	傀儡木履	3	1	1
5300014	魂祭	3	1	1
5300015	魂夺影	3	1	1
5400001	绝影靴	4	1	1
5400002	战影靴	4	1	1
5400003	忍影靴	4	1	1
5400004	哀影靴	4	1	1
5400005	毁影靴	4	1	1
5400006	魂影靴	4	1	1
5400007	祭影靴	4	1	1
5400008	土影战靴	4	1	1
5400009	雷影战靴	4	1	1
5400010	水影战靴	4	1	1
5400011	风影战靴	4	1	1
5400012	火影战靴	4	1	1
4400013	宇智波徽记	4	1	1
2300016	晓の斗笠	3	1	1
5300016	木叶上忍足具	3	1	1
5200009	木叶中忍战靴	2	1	1
100001	狼牙伐锥	1	2	1
100002	苦无	1	2	1
100003	操手里剑	1	2	1
100004	心中斩首	1	2	1
110000	凤仙火	2	2	1
110001	炎弹	2	2	1
110002	水铁炮	2	2	1
110003	龙火	2	2	1
110004	瀑布	2	2	1
110005	泡沫乱波	2	2	1
110006	水乱波	2	2	1
110007	六道生灵	4	2	1
110008	大突破	2	2	1
110009	土中映鱼	2	2	1
110010	土陆归来	2	2	1
110011	裂土转掌	2	2	1
120000	潜影蛇手	3	2	1
120001	椿之舞	3	2	1
120002	龙炎放歌	3	2	1
120003	龙炎歌	3	2	1
120004	火龙炎弹	3	2	1
120005	头刻苦	3	2	1
120006	虫沼	3	2	1
120007	毒锥地狱	3	2	1
120008	土牢堂无	3	2	1
120009	水鲛弹	3	2	1
120010	双升龙	3	2	1
120011	土流壁	3	2	1
130000	大瀑布	4	2	1
130001	风之刃	4	2	1
130002	纸海封印	4	2	1
130003	八卦六十四掌	4	2	1
130004	黄泉沼	4	2	1
130005	千鸟刃	4	2	1
130006	千鸟锐枪	4	2	1
130007	千鸟千本	4	2	1
130008	地爆天星	4	2	1
130009	幻龙九封尽	4	2	1
130010	雷分身	4	2	1
130011	百豪之术	4	2	1
200000	纸手里剑	1	2	1
200001	手里剑	1	2	1
200002	白牙之刃	1	2	1
200003	查克拉刀	1	2	1
210000	仙火花	2	2	1
210001	蛇睨咒缚	2	2	1
210002	如雨露千本	2	2	1
210003	土龙隐	2	2	1
210004	影首缚颈术	2	2	1
210005	乌鸦分身	2	2	1
210006	土龙弹	2	2	1
210007	烈风掌	2	2	1
210008	水饴拿原	2	2	1
210009	土中潜航	2	2	1
210010	墨分身	2	2	1
210011	水分身	2	2	1
220000	大镰鼬	3	2	1
220001	背部尾刺	3	2	1
220002	树缚永葬	3	2	1
220003	追牙术	3	2	1
220004	大鲛弹之术	3	2	1
220005	镰鼬之舞	3	2	1
220006	孢子之术	3	2	1
220007	土流城壁	3	2	1
220008	雷鸟	3	2	1
220009	水阵壁	3	2	1
220010	豪水腕	3	2	1
220011	五食鲛	3	2	1
230000	阴愈伤灭	4	2	1
230001	水断波水遁	4	2	1
230002	砂瀑大葬	4	2	1
230003	掌仙	4	2	1
230004	治活再生	4	2	1
230005	乱身冲	4	2	1
230006	三重罗生门	4	2	1
230007	外道魔像	4	2	1
230008	尾兽玉	4	2	1
230009	蛤蟆嘴束缚术	4	2	1
230010	人身冴功	4	2	1
230011	三日月之舞	4	2	1
300000	爆炸符	1	2	1
300001	闪光十字斩	1	2	1
300002	瞬身刃	1	2	1
300003	发破勒重死	1	2	1
310000	暗器针弹	2	2	1
310001	水牢	2	2	1
310002	扦插之术	2	2	1
310003	镰鼬	2	2	1
310004	千手操武	2	2	1
310005	操袭太刃	2	2	1
310006	水阵柱	2	2	1
310007	破奔流	2	2	1
310008	冰牙弹	2	2	1
310009	岩击	2	2	1
310010	蒸危爆威	2	2	1
310011	暴风乱舞	2	2	1
320000	土陵团子	3	2	1
320001	蜃气楼	3	2	1
320002	斩斩舞	3	2	1
320003	毒雾	3	2	1
320004	组合变身	3	2	1
320005	细患抽出	3	2	1
320006	土流大河	3	2	1
320007	土流割	3	2	1
320008	爆水冲波	3	2	1
320009	水龙弹术	2	2	1
320010	里莲华	3	2	1
320011	水牙弹	3	2	1
330001	木龙之术	4	2	1
330002	分身大爆破	4	2	1
330003	手里剑影分身	4	2	1
330004	镜面袭者	4	2	1
330005	漩涡封印术	4	2	1
330006	麒麟	4	2	1
330007	须佐能乎	4	2	1
330008	雷虎通杀	4	2	1
330009	雷传	4	2	1
330010	尸鬼封尽	4	2	1
330011	己生转生	4	2	1
330012	飞雷神	4	2	1
900000	豪火灭失	4	2	1
900001	不尸转生	4	2	1
900002	五重罗生门	4	2	1
900003	八岐	4	2	1
900004	百机操演	4	2	1
900005	十机近松	4	2	1
900006	黑斑差	4	2	1
900007	创造再生	4	2	1
900008	雷切	3	2	1
410000	消写颜	2	2	1
410001	梦幻音锁	2	2	1
410002	响鸣穿	2	2	1
410003	墨霞	2	2	1
410004	青蛙变身	2	2	1
410005	影舞叶	2	2	1
410006	狐狸心中	2	2	1
410007	此处非	2	2	1
410008	奈落见	2	2	1
410009	木人	2	2	1
410010	风尘	2	2	1
410011	石针	2	2	1
410012	四柱家	2	2	1
410013	木锭壁	2	2	1
410014	软体改造	2	2	1
410015	网罗	2	2	1
410016	砂金	2	2	1
410017	岩分身	2	2	1
410018	磷粉隐	2	2	1
410019	蜘蛛茧	2	2	1
420000	加重岩	3	2	1
420001	迷彩隐	3	2	1
420002	天降盖	3	2	1
420003	地动核	3	2	1
420004	水流壁	3	2	1
420005	四柱束缚	3	2	1
420006	逆向通灵	3	2	1
420007	天送	3	2	1
420008	纸分身	3	2	1
420009	岩石傀儡	3	2	1
420010	水镜	3	2	1
420011	灵化	3	2	1
420012	昼虎	3	2	1
420013	重流暴	3	2	1
420014	开土升掘	3	2	1
420015	山土	3	2	1
420016	朝孔雀	3	2	1
420017	黑暗行	3	2	1
420018	砂缚牢	3	2	1
420019	式纸之舞	3	2	1
430000	雨虎自在	4	2	1
430001	砂漠浮游	4	2	1
430002	砂之盾	4	2	1
430003	砂之铠甲	4	2	1
430004	幻灯身	4	2	1
430005	象转	4	2	1
430006	针地藏	4	2	1
430007	孢子	4	2	1
430008	魔境之乱	4	2	1
430009	蛤蟆临唱	4	2	1
430010	无限砂尘	4	2	1
430011	花树界	4	2	1
430012	砂之手	4	2	1
430013	真空玉	4	2	1
430014	真空波	4	2	1
430015	树界	4	2	1
430016	原界剥离	4	2	1
430017	神之纸者	4	2	1
430018	潜脑操砂	4	2	1
430019	巧雾	4	2	1
800001	迦楼罗	4	2	1
800002	别天神	4	2	1
800003	大玉螺旋丸	4	2	1
800004	超大玉螺旋丸	4	2	1
800005	樱花冲	4	2	1
800006	肉弹战车	2	2	1
800007	鸟兜	2	2	1
800008	粘土巨人	3	2	1
800009	土隆枪	3	2	1
800010	水铁炮之术	2	2	1
800011	查克拉刀术	3	2	1
800012	超兽伪画	2	2	1
800013	针千本	2	2	1
800014	地蜘蛛缝	2	2	1
800015	兜割	2	2	1
800016	落雷	2	2	1
800017	灵化术	3	2	1
800018	操袭刃	1	2	1
800019	操手里剑之术	1	2	1
800020	荆棘杀之术	1	2	1
800021	火焰斩	2	2	1
800022	里霞斩	2	2	1
800023	灵魂吞噬	2	2	1
800024	怪腕火箭	2	2	1
800025	吸术封印	2	2	1
800026	判决	2	2	1
800027	牙通牙	2	2	1
800028	仙人咒印	2	2	1
800029	秽土重生	4	2	1
800030	写轮眼	4	2	1
800031	平目鲽解放	2	2	1
500010	万般木遁	3	2	1
500011	天照	4	2	1
500012	轮回眼	4	2	1
500013	仙法螺旋丸	4	2	1
500014	忍术宗师	4	2	1
500015	超音震雷遁刀	3	2	1
500016	八门遁甲	3	2	1
500017	神威	4	2	1
500018	螺旋手里剑	4	2	1
500019	白眼	3	2	1
11000025	美酒	3	4	15
