弟子ID	弟子名	形象ID	描述	性别（1：男;2女）	属性偏向	弟子品质（1：丁;2：丙;3：乙;4：甲	天赋武学	初始气血	初始武功	初始内力	初始身法	初始防御	初始真气	气血成长	武功成长	内力成长	身法成长	防御成长	真气成长	招募所需魂魄数量	突破所需魂魄数量	初始命中	初始闪避	初始暴击	初始抗暴	初始会心	命中成长	闪避成长	暴击成长	抗暴成长	会心成长	招募转换魂魄数量	技能图片	身价	缘分ID	普通攻击效果	普通攻击帧频
10013	千手扉间	qianshoufeijian	火之国木叶忍者村的第二代火影，狂野的斗志，继承初代火影意志的烈火男子，勇敢的大将，兴旺村子的未来。	1	30	4	330012	214	289	329	381	127	133	5.7	5	8.8	9.8	0.62	2.18	26	15;5	0	0	5	0	25	0	0	0	0	0	13	qianshoufeijian	189;6.42	10019;13182;11009;11031;10026;12015	picture_4_shuipg_shouji	8
10014	奇拉比	qilabi	八尾人柱力，四代雷影的弟弟，可以完全控制八尾，实力强劲。	1	31	4	420013	150	101	18	98	100	115	6.4	8.6	7	5.5	2.1	1.77	26	14;5	0	5	5	0	5	0	0	0	0	0	12	default	189;6.42	10021;10022;11032;11100;12016;13126	picture_4_leipg_shouji	8
10015	四代雷影	sidaileiying	雷之国云忍者村的第四代雷影，拥有惊人的力量和速度，会使用将雷遁查克拉覆盖在身上并发动直接攻击的“忍体术”。	1	24	4	420004	247	142	185	349	179	105	6.1	6.2	3.3	8.9	2	1.86	28	14;5	5	0	0	0	10	0	0	0	0	0	12	default	189;6.42	10022;10023;11031;11033;12017;10092	picture_4_leipg_shouji	8
10016	大轩	daxuan	土之国岩忍者村的第三代土影，身材矮小，性格倔强，脾气固执，是唯一与宇智波斑交过手仍在世的忍者，并且是忍者中会飞的人之一。	1	6	4	410017	202	231	302	50	80	126	2.63	5.5	8.45	5.44	1.7	1.72	22	12;4	0	0	5	0	10	0	0	0	0	0	10	moren1	189;6.42	10024;10025;11035;10092;12018;12019	picture_4_tupugong01_shouji	5
10017	猿飞日斩	sandaiyuanfei	只要有树叶飞舞的地方，火就会燃烧。火的影子会照耀着村子，并且让新的树叶发芽。	1	5	4	500014	135	311	227	155	0	109	3.77	7.89	7.82	4.3	1.54	1.9	28	15;5	10	0	15	0	15	0	0	0	0	0	13	sandaihuoying	189;6.42	13182;10026;10037;11039;11009;13177	picture_6_huopg_shouji	12
10018	千手纲手	gangshou	有形的东西迟早会凋零，但只有回忆是永远不会凋零的。	2	5	4	130011	278	175	189	155	94	170	6.55	8.48	7.69	2.87	1.83	1.7	26	17;6	10	0	0	0	10	0	0	0	0	0	15	gangshou	189;6.42	10012;10026;11037;10092;13121;12021	picture_6_quanjiaopg04_shouji	12
10019	照美冥	zhaomeiming	水之国雾隐村的第五代水影，是位十分美貌且妖娆的成熟女性，而在美丽的外表下却隐藏着十分高深的实力。	2	1	4	320008	245	141	183	163	81	104	8.63	4.23	9.64	4.81	2.82	1.86	22	17;6	0	0	15	0	15	0	0	0	0	0	15	moren1	189;6.42	10027;11014;11015;10092;12027;13102	picture_4_shuipg_shouji	8
10020	阿凯	akai	木叶的苍蓝猛兽，人称铁血凯。努力吧！年轻人！少年哟，胸怀大志吧！这就是青春！	1	3	4	500016	254	397	0	177	51	93	5.36	10.31	0	7.52	0.87	1.72	24	18;6	5	0	10	0	0	0	0	0	0	0	16	moren1	189;6.42	10029;10030;11051;13122;10048;13103	picture_3_quanjiaopg01_shouji	6
10021	桃地再不斩	taomuzaibuzhan	雾忍者村“忍刀七人众”之一，断刀“斩首大刀”的使用者。	1	18	4	110004	341	145	278	152	129	108	7.87	6.32	5.48	0.87	1.98	1.84	20	14;5	0	0	15	0	0	0	0	0	0	0	12	zaibuzhan	189;6.42	10031;10032;10074;11046;12030;12031	picture_4_shuipg_shouji	8
10022	飞段	feiduan	真的假的，在血与暗的深渊里。	1	5	4	420014	311	190	233	177	103	115	6.82	5.5	6.21	3.76	1.3	1.79	20	12;4	0	10	0	5	0	0	0	0	0	0	10	feiduan	189;6.42	10075;11041;11047;11048;13104;13105	picture_6_daojianpg_shouji	12
10023	干柿鬼鲛	guijiao	雾忍者村“忍刀七人众”之一，“晓”组织一员，雾隐怪人，因其具有强大的查克拉，人称无尾尾兽。	1	1	4	220004	230	132	284	153	76	126	5.66	5.3	9.5	1.4	3.64	1.97	20	12;4	15	0	0	0	0	0	0	0	0	0	10	guijiao	189;6.42	13124;10029;10021;13083;11026;11034	picture_4_shuipg_shouji	8
10024	角都	jiaodu	地狱中的判决，也是看钱说话的，正合我意。	1	22	4	420002	352	202	264	235	50	126	7.53	4.33	5.7	4.09	3.45	2.17	20	12;4	0	0	15	0	0	0	0	0	0	0	10	jiaodu	189;6.42	10016;10075;11049;11040;13106;13107	picture_4_fengpg01_shouji	8
10025	绝	jue	悲伤之时，孑然一身（白绝）；能相信的，唯有自己（黑绝）。	1	5	4	220006	271	155	203	180	90	126	7.35	6.32	8.25	3.71	1.23	1.97	20	12;4	5	5	0	0	5	0	0	0	0	0	10	jue	189;6.42	13189;10016;13144;11028;13191;13088	picture_4_shuipg_shouji	8
10026	小南	nan	下一次，我希望你能开出永不凋谢的希望之花送给我。	2	10	4	130002	284	163	213	189	94	105	5.98	6.92	2.5	7.85	1.99	1.86	22	17;6	0	10	0	5	0	0	0	0	0	0	15	xiaonan	189;6.42	13111;10035;13110;10076;11029;13086	picture_6_quanjiaopg04_shouji	12
10027	迪达拉	didala	颤抖吧！惊叹吧！绝望吧！放声大哭吧！我的艺术就是——喝—爆炸！	1	5	4	800001	271	241	300	68	121	115	6.97	8.01	9.11	3.49	1.53	1.79	20	12;4	0	0	25	0	25	0	0	0	0	0	10	didala	189;6.42	10016;10024;13112;11030;10072;12033	picture_6_huopg_shouji	12
10028	猿飞阿斯马	yuanfeiasima	第三代火影的儿子，木叶丸的叔叔，木叶第十班的领导老师。	1	5	4	200003	277	199	177	210	77	121	4.36	6.48	7.98	5.32	0.84	2.01	20	12;4	5	0	10	0	0	0	0	0	0	0	10	moren1	189;6.42	10037;10038;13129;13090;13104;12035	picture_4_fengpg02_shouji	8
10029	日向日足	rixiangrizu	三大瞳术之一白眼的日向一族的当家，一直为弟弟的死，而感到内疚！	1	21	3	500019	320	166	100	122	100	119	9.68	2.09	3.38	0.99	3.78	2.02	20	15;5	5	0	0	0	5	0	0	0	0	0	13	xie	126;5.33	10040;10039;11067;11099;11075;12048	picture_4_quanjiaopg02_shouji	8
10030	山椒鱼半藏	banzang	前雨之国雨隐村的首领，被忍者世界称为“半神”，为人十分小心谨慎。	1	5	4	500030	301	199	199	47	122	135	6.21	8.79	8.09	2	1.72	2.17	24	17;6	15	0	10	15	5	0	0	0	0	0	12	xie	189;6.42	10041;10042;13183;13179;11099;13178	picture_4_shuipg_shouji	8
10031	志村团藏	tuanzang	火之国木叶村的忍者，木叶暗部的地下组织“根”的领导者，是第二代火影千手扉间的弟子和第三代火影猿飞日斩的竞争对手。	1	18	4	500029	207	119	155	201	155	103	9.55	7.43	2.6	7.56	2.62	1.85	24	17;6	20	15	0	10	0	0	0	0	0	0	15	xie	189;6.42	10041;10051;10071;11055;13185;13182	picture_4_fengpg02_shouji	8
10032	金角	jinjiao	既是雷之国云隐村的传奇又是云隐村史上最可恶的大罪人，兄弟银角，继承了六道仙人的血脉，以及部分九尾查克拉。	1	9	4	500031	349	201	177	175	116	122	7.78	8.55	5.18	7.29	2.26	1.72	18	14;5	0	0	0	10	0	0	0	0	0	0	12	xie	189;6.42	10019;11000;11056;11057;11099;12016	picture_3_quanjiaopg01_shouji	6
10033	银角	yinjiao	既是雷之国云隐村的传奇又是云隐村史上最可恶的大罪人，兄弟金角，继承了六道仙人的血脉，以及部分九尾查克拉	1	8	4	500032	280	171	217	201	88	122	6.86	8.86	6.03	8.31	1.31	2	18	14;5	5	5	0	0	5	0	0	0	0	0	12	xie	189;6.42	10019;11021;12016;11000;11056;11057	picture_3_quanjiaopg01_shouji	6
10034	天秤重吾	tianpingzhongwu	鹰小队成员之一，能够听懂动物的语言。具有双重人格，咒印的来源者，天生拥有能吸取自然能量的能力。	1	5	4	800028	312	194	100	135	99	106	6.91	4.85	8.55	4.51	0.6	1.85	16	12;4	5	0	5	0	20	0	0	0	0	0	10	tianpingzhongwu	189;6.42	10044;10010;13094;13095;12037;13113	picture_4_quanjiaopg02_shouji	8
10035	鬼灯水月	guidengshuiyue	水之国血雾之村走出来的鬼灯一族，为了集齐忍刀七人众的刀而加入佐助的“鹰”小队，和哥哥鬼灯满月一样是用刀的天才。	1	31	4	220010	168	99	101	145	83	101	6.52	7.04	0.85	8.04	0.7	1.88	16	12;4	0	25	0	50	0	0	0	0	0	0	10	guidengshuiyue	189;6.42	10032;10046;10010;10045;11099;12052	picture_4_shuipg_shouji	8
10036	君麻吕	junmalv	辉夜一族最正统血继限界尸骨脉的拥有者，使用者有控制自己骨头的恐怖力量。全族人只留下他一个时的那朵花，美丽、纯洁、孤寂。	1	1	4	120001	219	126	209	126	73	100	6.74	5.43	8.75	2.4	1.89	1.45	16	12;4	0	0	5	5	0	0	0	0	0	0	10	junmalv	189;6.42	10044;10050;11060;13114;13115;13001	picture_6_daojianpg_shouji	12
10037	白	bai	拥有自母亲遗传的冰遁血继限界，人想要保护重要东西的时候，就真的会变得很坚强	1	10	4	220009	322	55	255	0	210	117	5.13	4.97	7.26	6.42	2.74	2.03	16	12;4	0	0	0	10	5	0	0	0	0	0	10	bai	189;6.42	10074;11044;11059;13116;13117	picture_4_shuipg_shouji	8
10038	旗木卡卡西	kakaxi	木叶第一技师，左眼为写轮眼，擅长分析和临战学习忍术，号称复制过上千种忍术的“拷贝忍者”，鸣人的老师。	1	16	4	900008	300	95	220	50	112	118	8.11	4.86	7.57	2.45	2.43	2.03	18	14;5	0	0	0	5	5	0	0	0	0	0	12	kakaxi	189;6.42	10008;10030;10056;11073;11025;13082	picture_4_leipg_shouji	8
10039	佩恩	changmen	知道什么叫历史吗？生长于真相之下，明白过去，预感未来，知道那就叫历史。	1	8	4	130009	371	125	278	152	129	108	8.67	6.32	5.48	0.87	1.48	1.84	4	3;1	0	0	15	0	0	0	0	0	0	0	2	peien	189;6.42	10003;10035;11042;11077;12005;12025	picture_4_shuipg_shouji	8
10040	宇智波带土	ban	打破忍者世界规则的人，我们都叫他废物…可是，不懂得重视同伴的人，连废物也不如！	1	29	4	500012	310	201	253	134	102	105	5.5	6.8	9.9	8.4	2	1.86	22	15;5	5	0	0	0	10	0	0	0	0	0	13	yuzhibo	189;6.42	13189;10033;11058;12005;11023;13082	picture_6_huopg_shouji	12
10041	漩涡鸣人	ningren	手臂断掉的话，就用脚踢死他;手脚断掉的话，就用牙咬死他;脖子被折断的话，就用眼盯死他。	1	17	4	800004	420	229	229	381	106	109	5.65	8.41	2.76	5.81	3.09	1.83	20	15;5	10	0	25	10	25	0	0	0	0	0	13	mingren	189;6.42	10008;10011;10018;11017;11061;13085	picture_4_fengpg01_shouji	8
10042	日向日差	shizhuang2	日向日足之孪生弟弟，不是因为分家保护宗家而死的，而是因为保护自己的兄弟和村子而死的。	1	18	3	230005	212	122	238	106	71	113	5.71	7.45	2.69	1.68	2.88	1.78	23	17;6	0	0	0	0	10	0	0	0	0	0	15	rixiangricha	126;5.33	10040;10039;11045;11075;11099;12048	picture_4_quanjiaopg02_shouji	8
10044	矢仓	shicang	三尾人柱力，拥有控制尾兽的能力，长相像小孩，不过本人极力主张自己已经是成年人。	1	22	4	420010	320	166	100	122	100	119	8.68	6.09	7.38	0.99	2.48	2.02	16	12;4	5	0	0	0	5	0	0	0	0	0	10	shicang	189;6.42	10027;13031;13075;11015;13119;12026	picture_4_shuipg_shouji	8
10045	漩涡玖辛奈	xuanwojiuxinnai	漩涡鸣人的母亲，四代火影波风水门的妻子，第二任九尾人柱力。在宿命中幻想未来，比男子还能干的红发玖辛奈。	2	3	3	330005	251	221	188	167	83	106	5.97	8.15	3.35	5.99	1.99	1.85	19	14;5	10	0	5	0	0	0	0	0	0	0	12	xuanwojiuxingnai	126;5.33	13091;11017;11045;11097;13067;10011	picture_6_quanjiaopg04_shouji	12
10046	奈良鹿丸	nailiangluwan	我啊，只想安稳地做个忍者，安稳地生活，和一个不美也不丑的女人结婚。	1	5	3	210004	464	50	348	25	154	114	5.77	5.91	7.01	1.26	1.86	1.57	17	13;4	0	0	0	10	0	0	0	0	0	0	11	nailangluwan	126;5.33	10038;10083;10084;11063;13096	picture_7_luwanpugong_shouji	9
10047	秋道丁次	qiudaodingci	哥这叫是丰满不是肥！	1	6	3	800006	386	290	65	20	70	114	6.41	7.88	5.63	1.32	2.12	1.57	17	13;4	0	0	0	10	0	0	0	0	0	0	11	qiudaodingci	126;5.33	10038;10085;10086;11063;13096;12046	picture_6_lanse_shouji	8
10048	山中井野	shanzhongjingye	我觉得如果你还在一个花蕾的状态下枯萎，那就太可惜了。因为一朵花不绽放那就没有意义了。	2	16	3	800007	286	164	214	191	95	114	8.61	2.45	7.43	0.53	2.86	1.57	19	14;5	0	0	0	5	5	0	0	0	0	0	12	shanzhongjingye	126;5.33	10038;10085;11063;11072;11106;12047	picture_6_quanjiaopg04_shouji	12
10049	李洛克	liluoke	木叶的莲华会再次绽放的，到那时我会变得更强！	1	3	3	320010	200	200	0	190	82	97	4.31	8.91	0	5.48	0.21	1.47	23	17;6	0	0	0	0	10	0	0	0	0	0	15	liluoke	126;5.33	10048;13131;10088;13130;11051;13087	picture_3_quanjiaopg01_shouji	6
10050	日向宁次	rixiangningci	每个人都只能活在无法违抗的潮流之中，只有一种命运，是每个人都平等拥有的，那就是死。	1	21	3	500019	209	120	157	139	69	105	4.61	8.31	2.97	2.65	2.21	1.62	18	14;5	0	5	0	5	0	0	0	0	0	0	12	rixianglingci	126;5.33	10039;10048;11063;11082;13096;12048	picture_4_quanjiaopg02_shouji	8
10051	天天	tiantian	怎么说人家也是女孩子阿，对女孩子也这样粗鲁可不好哦。	2	26	3	120010	179	103	134	119	59	94	5.07	4.32	2.87	5.04	1.26	1.48	17	13;4	0	0	0	0	10	0	0	0	0	0	11	tiantian	126;5.33	10048;11077;11063;13163;12049	picture_6_daojianpg_shouji	12
10052	赤土	shizhuang4	土影的护卫，很幽默、体谅人。	1	21	3	800008	236	136	177	157	78	96	7.01	4.71	1.59	3.04	1.52	1.47	17	13;4	0	3	2	0	5	0	0	0	0	0	11	chitu	126;5.33	10025;11062;11078;11079;12041;12050	picture_4_tupugong02_shouji	6
10053	黑土	shizhuang2	土影的孙女，最大的愿望就是希望年老体衰的土影早点退休。	2	18	3	800009	235	125	88	190	33	97	4.97	4.15	3.47	3.11	0.86	1.47	15	11;4	0	0	5	0	5	0	0	0	0	0	9	heitu	126;5.33	10025;11080;11081;12051;12050	picture_4_tupugong01_shouji	6
10054	手鞠	shouju	哼，再怎么样都没有用。	2	7	3	220000	178	102	133	119	59	94	4.13	2.97	4.7	3.47	2.77	1.48	17	13;4	0	5	5	0	0	0	0	0	0	0	11	shouju	126;5.33	10014;10084;11083;11080;11084;12039	picture_4_fengpg02_shouji	8
10055	勘九郎	kanjiulang	我爱罗的哥哥，擅长操纵傀儡，个性有些冲动，但真诚善良，甚至有几分可爱。	1	22	3	120007	205	146	154	136	68	94	5.53	4.33	4.16	2.95	2.14	1.48	18	14;5	0	5	0	5	0	0	0	0	0	0	12	kanjiulang	126;5.33	10014;10089;11062;11086;11085;12043	picture_4_dupugong01_shouji	5
10056	鬼灯满月	guidengmanyue	雾忍者村前代“忍刀七人众”之一，鬼灯水月的哥哥，可以熟练使用七把忍刀。	1	16	3	800010	200	122	150	50	100	106	6.79	3.86	5.09	1.7	1.38	1.62	17	13;4	0	0	10	0	0	0	0	0	0	0	11	guidengshuiyue	126;5.33	10031;10060;11059;11087;12053;12060	picture_4_shuipg_shouji	8
10057	弥彦	shizhuang1	为了实现世界和平的理想而创立了“晓”，后为保护同伴被山椒鱼半藏逼死。	1	14	3	110006	170	98	191	85	57	92	3.18	4.26	5.15	5.13	0.68	1.29	16	12;4	5	5	0	0	0	0	0	0	0	0	10	miyan	126;5.33	10042;10076;11089;11085;11090;12054	picture_4_shuipg_shouji	8
10058	千手板间	shizhuang1	初代火影千手柱间、二代火影千手扉间及千手瓦间之弟，千手佛间的第四个儿子。	1	32	3	330001	180	103	135	120	60	85	4.5	4.51	2.52	5.25	0.72	1.33	16	12;4	5	5	0	0	0	0	0	0	0	0	10	moren2	126;5.33	11053;11085;11106;12056	picture_3_quanjiaopg01_shouji	6
10059	萨姆依	samuyi	雷之国云隐村萨姆依小队队长。你们两个是忍者的话，就要酷一点。	2	11	3	800011	219	126	144	0	73	100	6.74	5.43	8.25	0	0.89	1.45	18	14;5	0	0	5	5	0	0	0	0	0	0	12	samuyi	126;5.33	10066;11057;11091;11066;12055;12049	picture_6_daojianpg_shouji	12
10060	夕日红	xirihong	血继界限“红莲之瞳”拥有者，八班队长。依然深深爱着猿飞阿斯玛	2	11	3	320001	185	106	139	123	61	98	8.72	2.05	8.2	2.73	2.6	1.46	22	17;6	0	4	6	0	0	0	0	0	0	0	15	xirihong	126;5.33	10049;10082;11045;11072;12056;13090	picture_6_quanjiaopg04_shouji	12
10061	佐井	zuojing	没有名字，没有感情，没有过去，没有未来，心中只有任务。	1	2	3	800012	175	99	20	100	120	104	5.94	4.44	7.8	4.06	0	1.63	18	14;5	0	0	10	0	0	0	0	0	0	0	12	zuojing	126;5.33	10051;10052;11019;11093;11094;12058	picture_4_dupugong03_shouji	5
10062	老紫	shizhuang4	你叫孙悟空吗？哈哈，和吾生活了40年的老伙计吾居然才知道你叫什么…	1	20	3	420001	401	149	301	267	133	105	4.74	3.25	2.76	3.86	1.24	1.42	18	14;5	0	10	0	0	0	0	0	0	0	0	12	laozi	126;5.33	10070;11062;11095;11096;12050	picture_6_huopg_shouji	12
10063	油女志乃	younvzhinai	用身体作为虫子的巢穴，操纵虫子战斗。性格冷静，好啰嗦，但很有实力。	1	11	3	120006	234	134	175	156	55	85	6.42	4.97	6.51	0.5	0	1.33	16	12;4	0	0	2	0	8	0	0	0	0	0	10	younvzhinai	126;5.33	10049;10053;11071;11063;11052;13059	picture_4_dupugong03_shouji	5
10064	长十郎	shizhuang1	雾忍者村“忍刀七人众”之一。性格有些缺乏自信。在五影会谈期间，和青一起担任第五代水影的护卫。武器为双刀“平目鲽”。	1	18	3	800031	192	111	216	96	64	108	6.84	6.69	5.87	2.6	1.74	1.6	16	12;4	0	5	0	0	10	0	0	0	0	0	10	xie	126;5.33	10060;11059;11097;11070;11087	picture_6_daojianpg_shouji	12
10065	无梨甚八	shizhuang1	雾忍者村前代“忍刀七人众”之一，爆刀“飞沫”的使用者。	1	26	3	300003	244	134	0	177	78	94	8.15	3.91	0	6.25	2.28	1.48	16	12;4	0	10	0	0	0	0	0	0	0	0	10	wulishengba	126;5.33	12003;10031;11059;11097;11088;12060	picture_6_daojianpg_shouji	12
10066	御手洗红豆	yushouxihongdou	木叶忍者村的特别上忍，中忍考试第二轮的主考官，同时也是木叶三忍之一大蛇丸的弟子。擅长使用大蛇丸传授的各种忍术。	2	11	3	800026	275	158	309	137	91	118	7.36	2.75	7.81	0.87	1.6	1.54	16	12;4	0	0	0	0	10	0	0	0	0	0	10	xie	126;5.33	10061;10081;10082;11098;12061;12013	picture_6_quanjiaopg04_shouji	12
10067	犬冢牙	quanzhongya	好动、好强，有自信，喜好充当别人的领袖。与忍犬赤丸形影不离，由如兄弟一样。	1	29	3	800027	181	104	177	120	60	95	5.53	5.48	6.91	6.38	0.5	1.48	16	12;4	0	0	5	0	5	0	0	0	0	0	10	quanzhongya	126;5.33	10049;10079;10080;11063;11099;12026	picture_4_quanjiaopg02_shouji	8
10068	达鲁伊	chutian	云忍者村的忍者，雷影的护卫。第三代雷影黑色雷遁的唯一继承者，拥有血量继限界“岚遁”。	1	30	3	220001	189	109	213	95	63	97	3.18	3.31	5.2	5.22	1.93	1.47	16	12;4	0	0	5	0	5	0	0	0	0	0	10	xie	126;5.33	10087;11057;11099;12055;12063	picture_4_leipg_shouji	8
10069	栗霰串丸	chutian	雾忍者村前代“忍刀七人众”之一，长刀“缝针”的使用者。	1	5	3	800014	148	85	166	74	49	118	3.57	7.27	7.98	1.52	1.67	1.54	16	12;4	5	0	0	0	10	0	0	0	0	0	10	lixianchuanwan	126;5.33	10031;11068;11099;11059;12031;12065	picture_6_daojianpg_shouji	12
10070	西瓜山河豚鬼	shizhuang2	雾忍者村前代“忍刀七人众”之一，大刀“鲛肌”的前任使用者，曾为干柿鬼鲛的上司。	1	1	3	800013	200	142	186	75	82	97	4.31	4.23	5.53	2.48	0.21	1.47	16	12;4	0	0	0	0	10	0	0	0	0	0	10	xiguashanhetungui	126;5.33	10021;10031;11059;11034;12043;12064	picture_6_daojianpg_shouji	12
10071	通草野饵人	shizhuang2	雾忍者村前代“忍刀七人众”之一，钝刀“兜割”的使用者。	1	7	3	800015	178	102	133	119	59	94	4.13	2.97	4.7	3.47	2.77	1.48	16	12;4	0	5	5	0	0	0	0	0	0	0	10	tongcaoyeerren	126;5.33	10031;11059;11069;11099;13008;12003	picture_6_daojianpg_shouji	12
10072	羽高	chutian	地上踏溅起水花，水花冻结成复数的冰千本，使用冰千本刺向对方。此忍术较易施展。	1	4	3	110005	152	87	114	101	50	94	4.99	6.43	2.62	2.32	2.17	1.48	16	12;4	0	5	0	5	0	0	0	0	0	0	10	xie	126;5.33	12016;11059;11095;11096;12066	picture_4_shuipg_shouji	8
10073	并足雷同	shizhuang4	脸上有疤，能力强，深受火影信任。	1	17	3	800019	159	91	179	80	53	114	4.64	7.6	7.49	4.88	0.93	1.77	16	12;4	0	10	0	0	0	0	0	0	0	0	10	xie	126;5.33	10057;10064;11098;11085;11102;12031	picture_6_daojianpg_shouji	12
10074	油女志薇	chutian	油女志乃之父，油女一族的代表人物。泰然自若的外表中，隐藏着油女一族的荣耀。	1	16	3	800019	200	122	150	50	100	106	6.79	3.86	5.09	1.7	1.38	1.62	16	12;4	0	0	10	0	0	0	0	0	0	0	10	xie	126;5.33	10053;11067;11052;11075;12067;12059	picture_4_dupugong03_shouji	5
