掉落包ID	概率分母	普通物品ID(最多5个)	普通物品分子	高手物品ID(最多5个)	高手物品分子	宗师物品ID(最多5个)	宗师物品分子	元宝	元宝分子
11258	100	420001	15	-1	-1	-1	-1	-1	-1
11262	100	120010;1100005	25;25	-1	-1	-1	-1	-1	-1
11267	100	2100010;220003	25;25	-1	-1	-1	-1	-1	-1
11273	100	220004;1208	25;25	-1	-1	-1	-1	-1	-1
11286	100	320000;420003	25;25	-1	-1	-1	-1	-1	-1
11293	100	1200004;420002	25;25	-1	-1	-1	-1	-1	-1
11301	100	210003;220006	25;25	-1	-1	-1	-1	-1	-1
11302	100	3200001;1200005	25;25	-1	-1	-1	-1	-1	-1
11303	100	420000;320008	25;25	-1	-1	-1	-1	-1	-1
11309	100	120008;420012	25;25	-1	-1	-1	-1	-1	-1
11316	100	1204;420009	25;25	-1	-1	-1	-1	-1	-1
11321	100	1200004;1217	25;25	-1	-1	-1	-1	-1	-1
11324	100	420013;3200004	25;25	-1	-1	-1	-1	-1	-1
11327	100	4200007;3200002	25;25	-1	-1	-1	-1	-1	-1
11328	100	320003;1303	25;25	-1	-1	-1	-1	-1	-1
11333	100	420012;4200008	25;25	-1	-1	-1	-1	-1	-1
11336	100	1200002;220010	25;25	-1	-1	-1	-1	-1	-1
11339	100	1309	25	-1	-1	-1	-1	-1	-1
11340	100	1200004	25	-1	-1	-1	-1	-1	-1
12018	100	1216;120002	25;25	-1	-1	-1	-1	-1	-1
12023	100	1200007;3200003	25;5	-1	-1	-1	-1	-1	-1
12027	100	4200003;320006	25;25	-1	-1	-1	-1	-1	-1
12032	100	1200003;310008	25;25	-1	-1	-1	-1	-1	-1
12036	100	4200007;3200004	25;25	-1	-1	-1	-1	-1	-1
12041	100	5200005;320004	25;25	-1	-1	-1	-1	-1	-1
12046	100	4200003;320006;-200005	25;25;20	-1	-1	-1	-1	-1	-1
12051	100	4200006;120000;-300002	25;25;20	-1	-1	-1	-1	-1	-1
12056	100	1200005;120010;-300005	25;25;20	-1	-1	-1	-1	-1	-1
12057	100	5200007;1213;-400002	25;25;20	-1	-1	-1	-1	-1	-1
12061	100	5200003;220000;-310005	25;25;15	-1	-1	-1	-1	-1	-1
12065	100	3200006;4200005;-410002	25;25;15	-1	-1	-1	-1	-1	-1
12069	100	220005;320000;-410005	25;25;15	-1	-1	-1	-1	-1	-1
12073	100	1305;-420005	25;10	-1	-1	-1	-1	-1	-1
12078	100	4200008;1210	25;25	-1	-1	-1	-1	-1	-1
12083	100	1200002;410016	25;25	-1	-1	-1	-1	-1	-1
12088	100	220003;410008	25;25	-1	-1	-1	-1	-1	-1
12089	100	420003;1311	5;25	-1	-1	-1	-1	-1	-1
12094	100	5200007;120010;-1402	25;25;3	-1	-1	-1	-1	-1	-1
12099	100	1204;120006;-1405	25;25;3	-1	-1	-1	-1	-1	-1
12104	100	4200005;1200004;-1302	25;25;10	-1	-1	-1	-1	-1	-1
12105	100	4300015;420007;1305	5;10;10	-1	-1	-1	-1	-1	-1
12111	100	220007;120001;-1305	25;25;10	-1	-1	-1	-1	-1	-1
12117	100	2100001;5200005;-1307	5;25;10	-1	-1	-1	-1	-1	-1
12123	100	3200003;1301;-1301	25;25;10	-1	-1	-1	-1	-1	-1
12125	100	230010;5300003	25;25	-1	-1	-1	-1	-1	-1
12131	100	1217;5200005	25;25	-1	-1	-1	-1	-1	-1
12137	100	320001;1212	25;25	-1	-1	-1	-1	-1	-1
12143	100	5200006;220011	25;25	-1	-1	-1	-1	-1	-1
12145	100	120008;2300003;420006	25;10;25	-1	-1	-1	-1	-1	-1
12152	100	220006;1225	25;25	-1	-1	-1	-1	-1	-1
12158	100	220003;1204	25;25	-1	-1	-1	-1	-1	-1
12162	100	5200007;220004	25;25	-1	-1	-1	-1	-1	-1
12165	100	5300016;1304	10;25	-1	-1	-1	-1	-1	-1
12172	100	5200004;120002	25;25	-1	-1	-1	-1	-1	-1
12178	100	120005;1216	25;25	-1	-1	-1	-1	-1	-1
12184	100	420011;320001	25;25	-1	-1	-1	-1	-1	-1
12188	100	120003;1214	25;25	-1	-1	-1	-1	-1	-1
12189	100	1305;1300011	25;10	-1	-1	-1	-1	-1	-1
12196	100	5200006;220011	25;25	-1	-1	-1	-1	-1	-1
12202	100	120004;1207	25;25	-1	-1	-1	-1	-1	-1
12208	100	320005;1221	25;25	-1	-1	-1	-1	-1	-1
12213	100	3300013;330001	10;20	-1	-1	-1	-1	-1	-1
12220	100	320002;1201	25;25	-1	-1	-1	-1	-1	-1
12226	100	420017;120000	25;25	-1	-1	-1	-1	-1	-1
12232	100	5200006;220001	25;25	-1	-1	-1	-1	-1	-1
12236	100	120007;1210	25;25	-1	-1	-1	-1	-1	-1
12237	100	3300009;1407	10;5	-1	-1	-1	-1	-1	-1
12244	100	1203;1212	25;25	-1	-1	-1	-1	-1	-1
12249	100	1316	20	-1	-1	-1	-1	-1	-1
12254	100	1200004;120007	20;20	-1	-1	-1	-1	-1	-1
12259	100	420018;5200007	20;20	-1	-1	-1	-1	-1	-1
12261	100	1300009;2200008	10;25	-1	-1	-1	-1	-1	-1
12268	100	5200005;120007	25;25	-1	-1	-1	-1	-1	-1
12275	100	420000;320010	25;25	-1	-1	-1	-1	-1	-1
12282	100	3200001;1217	25;25	-1	-1	-1	-1	-1	-1
12283	100	320011;420001	25;25	-1	-1	-1	-1	-1	-1
12284	100	4400006;120008	25;25	-1	-1	-1	-1	-1	-1
12289	100	320005;120010	25;25	-1	-1	-1	-1	-1	-1
12293	100	120010;1212	25;25	-1	-1	-1	-1	-1	-1
12298	100	320000;420014	25;25	-1	-1	-1	-1	-1	-1
12306	100	1206;220011	25;25	-1	-1	-1	-1	-1	-1
12313	100	5400004;430000	2;2	-1	-1	-1	-1	-1	-1
12322	100	5200007;1200005	25;25	-1	-1	-1	-1	-1	-1
12331	100	120006;1205	25;25	-1	-1	-1	-1	-1	-1
12339	100	1310	25	-1	-1	-1	-1	-1	-1
12340	100	420019;3200001	25;25	-1	-1	-1	-1	-1	-1
12341	100	1306;1400011	25;50	-1	-1	-1	-1	-1	-1
12347	100	1214;1220	25;25	-1	-1	-1	-1	-1	-1
12354	100	420006;320002	25;25	-1	-1	-1	-1	-1	-1
12359	100	220000;420016	25;25	-1	-1	-1	-1	-1	-1
12362	100	230005	5	-1	-1	-1	-1	-1	-1
12377	100	130003	2	-1	-1	-1	-1	-1	-1
12378	100	3400007	2	-1	-1	-1	-1	-1	-1
42380	100	11000007;11000011;11000025	25;25;20	-1	-1	-1	-1	-1	-1
42381	100	13000007;11000011;11000006	25;25;20	-1	-1	-1	-1	-1	-1
42382	100	11000003;11000011;11000005	25;25;20	-1	-1	-1	-1	-1	-1
60001	100	24400001;24400002;14400003	10;40;50	-1	-1	-1	-1	-1	-1
60002	100	24400001;24400002;14400004	10;40;51	-1	-1	-1	-1	-1	-1
60003	100	24400001;24400002;14400005	10;40;52	-1	-1	-1	-1	-1	-1
60004	100	24400001;24400002;14400006	10;40;53	-1	-1	-1	-1	-1	-1
60005	100	24400001;24400002;14400007	10;40;54	-1	-1	-1	-1	-1	-1
60006	100	24400001;24400002;14400008	10;40;55	-1	-1	-1	-1	-1	-1
60007	100	24400001;24400002;14400009	10;40;56	-1	-1	-1	-1	-1	-1
60008	100	24400001;24400002;14400010	10;40;57	-1	-1	-1	-1	-1	-1
60009	100	24400001;24400002;14400011	10;40;58	-1	-1	-1	-1	-1	-1
