弟子ID	弟子名	极品推荐(B/A/S套装ID)	终极推荐（套装ID）	终极推荐（缘分装备ID）	率品质装备
10073	并足雷同	1250000001;1350000003;1450000003	1350000003	2300015;1400003	1100002;2100010;3100001;4100002;5100002
10074	油女志薇	1250000001;1350000003;1350000001	1350000001	2300009;4100005	1100002;2100010;3100001;4100002;5100002
10075	日向雏田	1250000001;1350000003;1450000003	1350000001	1100008	1100002;2100010;3100001;4100002;5100002
10076	千代婆婆	1250000001;1350000003;1450000003	1350000001	2300011;3300003	1100002;2100010;3100001;4100002;5100002
10077	多由也	1250000001;1350000003;1450000003	1350000001	2300003	1100002;2100010;3100001;4100002;5100002
10078	次郎坊	1250000001;1350000003;1450000003	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10079	宇智波富岳	1250000001;1350000001;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10080	不知火玄间	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10081	黑锄雷牙	1250000001;1350000001;1450000002	1350000001	1400012	1100002;2100010;3100001;4100002;5100002
10082	鬼童丸	1250000001;1350000001;1450000002	1350000001	2300003;1300006	1100002;2100010;3100001;4100002;5100002
10083	月光疾风 	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10084	左近右近	1250000001;1350000001;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10085	伊鲁卡	1250000001;1250000001;1250000001	1250000001	-1	1100002;2100010;3100001;4100002;5100002
10086	琳	1250000001;1350000003;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10087	木叶丸	1250000001;1350000001;1250000001	1350000001	2400007;3400007	1100002;2100010;3100001;4100002;5100002
10088	马基	1250000001;1350000003;1450000002	1350000001	2300005	1100002;2100010;3100001;4100002;5100002
10090	林檎雨由利	1250000001;1350000001;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10091	阿斯玛	1250000001;1350000003;1450000002	1350000001	4100005	1100002;2100010;3100001;4100002;5100002
10092	成马	1250000001;1350000001;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10093	北根	1250000001;1350000003;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10094	和马	1250000001;1350000001;1450000002	1350000001	5300008	1100002;2100010;3100001;4100002;5100002
10095	地陆	1250000001;1350000003;1450000002	1350000001	1100008	1100002;2100010;3100001;4100002;5100002
10096	阵雨	1250000001;1350000003;1450000002	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10097	星斗	1250000001;1350000003;1250000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10098	加藤断	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10099	山城青叶	1250000001;1350000001;1350000001	1350000001	4100002	1100002;2100010;3100001;4100002;5100002
10100	旗木朔茂	1250000001;1350000003;1450000002	1450000002	-1	1100002;2100010;3100001;4100002;5100002
10101	夜叉丸	1250000001;1350000001;1350000001	1350000001	1300006	1100002;2100010;3100001;4100002;5100002
10102	千手瓦间	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10103	千手绳树	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10104	阿赤伊	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10105	卡茹伊	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10106	奥摩伊	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10107	地狱道	1250000001;1350000001;1350000001	1350000001	2300010	1100002;2100010;3100001;4100002;5100002
10108	天道	1250000001;1350000001;1350000001	1350000001	3400008	1100002;2100010;3100001;4100002;5100002
10109	人间道	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10110	修罗道	1250000001;1350000001;1350000001	1350000001	3400008	1100002;2100010;3100001;4100002;5100002
10111	畜生道	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10112	饿鬼道	1250000001;1350000001;1350000001	1350000001	1400005	1100002;2100010;3100001;4100002;5100002
10113	地狱道	1250000001;1350000001;1350000001	1350000001	2300010	1100002;2100010;3100001;4100002;5100002
10114	黄土	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10115	日向花火	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10116	红莲	1250000001;1350000001;1350000001	1350000001	1100005	1100002;2100010;3100001;4100002;5100002
10117	兰丸	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10118	小樱	1250000001;1350000003;1350000001	1350000001	-1	1200005;2100010;3200006;4200003;5100002
10119	香磷	1250000001;1350000003;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10120	少年佐助	1250000001;1350000003;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10121	宇智波止水	1250000001;1350000003;1350000003	1350000003	-1	1200005;2100010;3200006;4200003;5100002
10122	雏田	1250000001;1350000001;1450000002	1450000002	-1	1200002;2100010;3200006;4100002;5100002
10123	三代雷影	1250000001;1350000001;1450000002	1450000002	-1	1200005;2100010;3200006;4200003;5100002
10124	萨克	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10125	托斯	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10126	金	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10127	森乃伊比喜	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10128	惠比寿	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
10129	水木	1250000001;1350000001;1350000001	1350000001	-1	1100002;2100010;3100001;4100002;5100002
