编号	起始名次	结束名次	元神	银两	铜宝箱	银宝箱	金宝箱	上古宝盒	10分钟声望	奖励道具
80	300	309	4173	128800	1	0	0	0	322	13000008_4173;13000002_128800;11000007_1
81	310	319	4160	128400	1	0	0	0	321	13000008_4160;13000002_128400;11000007_1
82	320	329	4147	128000	1	0	0	0	320	13000008_4147;13000002_128000;11000007_1
83	330	339	4134	127600	1	0	0	0	319	13000008_4134;13000002_127600;11000007_1
84	340	349	4121	127200	1	0	0	0	318	13000008_4121;13000002_127200;11000007_1
85	350	359	4108	126800	1	0	0	0	317	13000008_4108;13000002_126800;11000007_1
86	360	369	4095	126400	1	0	0	0	316	13000008_4095;13000002_126400;11000007_1
87	370	379	4082	126000	1	0	0	0	315	13000008_4082;13000002_126000;11000007_1
88	380	389	4069	125600	1	0	0	0	314	13000008_4069;13000002_125600;11000007_1
89	390	399	4056	125200	1	0	0	0	313	13000008_4056;13000002_125200;11000007_1
90	400	409	4044	124800	1	0	0	0	312	13000008_4044;13000002_124800;11000007_1
91	410	419	4031	124400	1	0	0	0	311	13000008_4031;13000002_124400;11000007_1
92	420	429	4018	124000	1	0	0	0	310	13000008_4018;13000002_124000;11000007_1
93	430	439	4005	123600	1	0	0	0	309	13000008_4005;13000002_123600;11000007_1
94	440	449	3992	123200	1	0	0	0	308	13000008_3992;13000002_123200;11000007_1
95	450	459	3979	122800	1	0	0	0	307	13000008_3979;13000002_122800;11000007_1
96	460	469	3966	122400	1	0	0	0	306	13000008_3966;13000002_122400;11000007_1
97	470	479	3953	122000	1	0	0	0	305	13000008_3953;13000002_122000;11000007_1
98	480	489	3940	121600	1	0	0	0	304	13000008_3940;13000002_121600;11000007_1
99	490	499	3927	121200	1	0	0	0	303	13000008_3927;13000002_121200;11000007_1
100	500	524	3914	120800	1	0	0	0	302	13000008_3914;13000002_120800;11000007_1
101	525	549	3914	120800	1	0	0	0	302	13000008_3914;13000002_120800;11000007_1
102	550	574	3901	120400	1	0	0	0	301	13000008_3901;13000002_120400;11000007_1
103	575	599	3888	120000	1	0	0	0	300	13000008_3888;13000002_120000;11000007_1
104	600	624	3875	119600	1	0	0	0	299	13000008_3875;13000002_119600;11000007_1
105	625	649	3862	119200	1	0	0	0	298	13000008_3862;13000002_119200;11000007_1
106	650	674	3849	118800	1	0	0	0	297	13000008_3849;13000002_118800;11000007_1
107	675	699	3836	118400	1	0	0	0	296	13000008_3836;13000002_118400;11000007_1
108	700	724	3836	118400	1	0	0	0	296	13000008_3836;13000002_118400;11000007_1
109	725	749	3823	118000	1	0	0	0	295	13000008_3823;13000002_118000;11000007_1
110	750	774	3810	117600	1	0	0	0	294	13000008_3810;13000002_117600;11000007_1
111	775	799	3797	117200	1	0	0	0	293	13000008_3797;13000002_117200;11000007_1
112	800	824	3784	116800	1	0	0	0	292	13000008_3784;13000002_116800;11000007_1
113	825	849	3784	116800	1	0	0	0	292	13000008_3784;13000002_116800;11000007_1
114	850	874	3771	116400	1	0	0	0	291	13000008_3771;13000002_116400;11000007_1
115	875	899	3758	116000	1	0	0	0	290	13000008_3758;13000002_116000;11000007_1
116	900	924	3745	115600	1	0	0	0	289	13000008_3745;13000002_115600;11000007_1
117	925	949	3732	115200	1	0	0	0	288	13000008_3732;13000002_115200;11000007_1
118	950	974	3732	115200	1	0	0	0	288	13000008_3732;13000002_115200;11000007_1
119	975	999	3720	114800	1	0	0	0	287	13000008_3720;13000002_114800;11000007_1
120	1000	1049	3707	114400	1	0	0	0	286	13000008_3707;13000002_114400;11000007_1
121	1050	1099	3694	114000	1	0	0	0	285	13000008_3694;13000002_114000;11000007_1
122	1100	1149	3681	113600	1	0	0	0	284	13000008_3681;13000002_113600;11000007_1
123	1150	1199	3681	113600	1	0	0	0	284	13000008_3681;13000002_113600;11000007_1
124	1200	1249	3668	113200	1	0	0	0	283	13000008_3668;13000002_113200;11000007_1
125	1250	1299	3655	112800	1	0	0	0	282	13000008_3655;13000002_112800;11000007_1
126	1300	1349	3642	112400	1	0	0	0	281	13000008_3642;13000002_112400;11000007_1
127	1350	1399	3642	112400	1	0	0	0	281	13000008_3642;13000002_112400;11000007_1
128	1400	1449	3629	112000	1	0	0	0	280	13000008_3629;13000002_112000;11000007_1
129	1450	1499	3616	111600	1	0	0	0	279	13000008_3616;13000002_111600;11000007_1
130	1500	1549	3603	111200	1	0	0	0	278	13000008_3603;13000002_111200;11000007_1
131	1550	1599	3603	111200	1	0	0	0	278	13000008_3603;13000002_111200;11000007_1
132	1600	1649	3590	110800	1	0	0	0	277	13000008_3590;13000002_110800;11000007_1
133	1650	1699	3577	110400	1	0	0	0	276	13000008_3577;13000002_110400;11000007_1
134	1700	1749	3577	110400	1	0	0	0	276	13000008_3577;13000002_110400;11000007_1
135	1750	1799	3564	110000	1	0	0	0	275	13000008_3564;13000002_110000;11000007_1
136	1800	1849	3551	109600	1	0	0	0	274	13000008_3551;13000002_109600;11000007_1
137	1850	1899	3538	109200	1	0	0	0	273	13000008_3538;13000002_109200;11000007_1
138	1900	1949	3538	109200	1	0	0	0	273	13000008_3538;13000002_109200;11000007_1
139	1950	1999	3525	108800	1	0	0	0	272	13000008_3525;13000002_108800;11000007_1
140	2000	2099	3512	108400	1	0	0	0	271	13000008_3512;13000002_108400;11000007_1
141	2100	2199	3499	108000	1	0	0	0	270	13000008_3499;13000002_108000;11000007_1
142	2200	2299	3499	108000	1	0	0	0	270	13000008_3499;13000002_108000;11000007_1
143	2300	2399	3486	107600	1	0	0	0	269	13000008_3486;13000002_107600;11000007_1
144	2400	2499	3473	107200	1	0	0	0	268	13000008_3473;13000002_107200;11000007_1
145	2500	2599	3473	107200	1	0	0	0	268	13000008_3473;13000002_107200;11000007_1
146	2600	2699	3460	106800	1	0	0	0	267	13000008_3460;13000002_106800;11000007_1
147	2700	2799	3447	106400	1	0	0	0	266	13000008_3447;13000002_106400;11000007_1
148	2800	2899	3447	106400	1	0	0	0	266	13000008_3447;13000002_106400;11000007_1
149	2900	2999	3434	106000	1	0	0	0	265	13000008_3434;13000002_106000;11000007_1
150	3000	3099	3421	105600	1	0	0	0	264	13000008_3421;13000002_105600;11000007_1
151	3100	3199	3408	105200	1	0	0	0	263	13000008_3408;13000002_105200;11000007_1
152	3200	3299	3408	105200	1	0	0	0	263	13000008_3408;13000002_105200;11000007_1
153	3300	3399	3396	104800	1	0	0	0	262	13000008_3396;13000002_104800;11000007_1
154	3400	3499	3383	104400	1	0	0	0	261	13000008_3383;13000002_104400;11000007_1
155	3500	3599	3383	104400	1	0	0	0	261	13000008_3383;13000002_104400;11000007_1
156	3600	3699	3370	104000	1	0	0	0	260	13000008_3370;13000002_104000;11000007_1
157	3700	3799	3357	103600	1	0	0	0	259	13000008_3357;13000002_103600;11000007_1
158	3800	3899	3357	103600	1	0	0	0	259	13000008_3357;13000002_103600;11000007_1
159	3900	3999	3344	103200	1	0	0	0	258	13000008_3344;13000002_103200;11000007_1
160	4000	4099	3331	102800	1	0	0	0	257	13000008_3331;13000002_102800;11000007_1
161	4100	4199	3318	102400	1	0	0	0	256	13000008_3318;13000002_102400;11000007_1
162	4200	4299	3318	102400	1	0	0	0	256	13000008_3318;13000002_102400;11000007_1
163	4300	4399	3305	102000	1	0	0	0	255	13000008_3305;13000002_102000;11000007_1
164	4400	4499	3292	101600	1	0	0	0	254	13000008_3292;13000002_101600;11000007_1
165	4500	4599	3292	101600	1	0	0	0	254	13000008_3292;13000002_101600;11000007_1
166	4600	4699	3279	101200	1	0	0	0	253	13000008_3279;13000002_101200;11000007_1
167	4700	4799	3266	100800	1	0	0	0	252	13000008_3266;13000002_100800;11000007_1
168	4800	4899	3266	100800	1	0	0	0	252	13000008_3266;13000002_100800;11000007_1
169	4900	5000	3253	100400	0	0	0	0	251	13000008_3253;13000002_100400
170	5001	5200	3240	100000	0	0	0	0	250	13000008_3240;13000002_100000
171	5201	5400	3240	100000	0	0	0	0	250	13000008_3240;13000002_100000
172	5401	5600	3227	99600	0	0	0	0	249	13000008_3227;13000002_99600
173	5601	5800	3214	99200	0	0	0	0	248	13000008_3214;13000002_99200
174	5801	6000	3214	99200	0	0	0	0	248	13000008_3214;13000002_99200
175	6001	6200	3201	98800	0	0	0	0	247	13000008_3201;13000002_98800
176	6201	6400	3188	98400	0	0	0	0	246	13000008_3188;13000002_98400
177	6401	6600	3188	98400	0	0	0	0	246	13000008_3188;13000002_98400
178	6601	6800	3175	98000	0	0	0	0	245	13000008_3175;13000002_98000
179	6801	7000	3162	97600	0	0	0	0	244	13000008_3162;13000002_97600
180	7001	7200	3149	97200	0	0	0	0	243	13000008_3149;13000002_97200
181	7201	7400	3149	97200	0	0	0	0	243	13000008_3149;13000002_97200
182	7401	7600	3136	96800	0	0	0	0	242	13000008_3136;13000002_96800
183	7601	7800	3123	96400	0	0	0	0	241	13000008_3123;13000002_96400
184	7801	8000	3123	96400	0	0	0	0	241	13000008_3123;13000002_96400
185	8001	8200	3110	96000	0	0	0	0	240	13000008_3110;13000002_96000
186	8201	8400	3097	95600	0	0	0	0	239	13000008_3097;13000002_95600
187	8401	8600	3097	95600	0	0	0	0	239	13000008_3097;13000002_95600
188	8601	8800	3084	95200	0	0	0	0	238	13000008_3084;13000002_95200
189	8801	9000	3072	94800	0	0	0	0	237	13000008_3072;13000002_94800
190	9001	9200	3072	94800	0	0	0	0	237	13000008_3072;13000002_94800
191	9201	9400	3059	94400	0	0	0	0	236	13000008_3059;13000002_94400
192	9401	9600	3046	94000	0	0	0	0	235	13000008_3046;13000002_94000
193	9601	9800	3046	94000	0	0	0	0	235	13000008_3046;13000002_94000
194	9801	10000	3033	93600	0	0	0	0	234	13000008_3033;13000002_93600
195	10001	10200	3020	93200	0	0	0	0	233	13000008_3020;13000002_93200
196	10201	10400	3020	93200	0	0	0	0	233	13000008_3020;13000002_93200
197	10401	10600	3007	92800	0	0	0	0	232	13000008_3007;13000002_92800
198	10601	10800	2994	92400	0	0	0	0	231	13000008_2994;13000002_92400
199	10801	11000	2994	92400	0	0	0	0	231	13000008_2994;13000002_92400
200	11001	11200	2981	92000	0	0	0	0	230	13000008_2981;13000002_92000
201	11201	11400	2968	91600	0	0	0	0	229	13000008_2968;13000002_91600
202	11401	11600	2968	91600	0	0	0	0	229	13000008_2968;13000002_91600
203	11601	11800	2955	91200	0	0	0	0	228	13000008_2955;13000002_91200
204	11801	12000	2942	90800	0	0	0	0	227	13000008_2942;13000002_90800
205	12001	12200	2942	90800	0	0	0	0	227	13000008_2942;13000002_90800
206	12201	12400	2929	90400	0	0	0	0	226	13000008_2929;13000002_90400
207	12401	12600	2916	90000	0	0	0	0	225	13000008_2916;13000002_90000
208	12601	12800	2916	90000	0	0	0	0	225	13000008_2916;13000002_90000
209	12801	13000	2903	89600	0	0	0	0	224	13000008_2903;13000002_89600
210	13001	13200	2890	89200	0	0	0	0	223	13000008_2890;13000002_89200
211	13201	13400	2890	89200	0	0	0	0	223	13000008_2890;13000002_89200
212	13401	13600	2877	88800	0	0	0	0	222	13000008_2877;13000002_88800
213	13601	13800	2864	88400	0	0	0	0	221	13000008_2864;13000002_88400
214	13801	14000	2864	88400	0	0	0	0	221	13000008_2864;13000002_88400
215	14001	14200	2851	88000	0	0	0	0	220	13000008_2851;13000002_88000
216	14201	14400	2838	87600	0	0	0	0	219	13000008_2838;13000002_87600
217	14401	14600	2838	87600	0	0	0	0	219	13000008_2838;13000002_87600
218	14601	14800	2825	87200	0	0	0	0	218	13000008_2825;13000002_87200
219	14801	15000	2812	86800	0	0	0	0	217	13000008_2812;13000002_86800
220	15001	15200	2812	86800	0	0	0	0	217	13000008_2812;13000002_86800
221	15201	15400	2799	86400	0	0	0	0	216	13000008_2799;13000002_86400
222	15401	15600	2786	86000	0	0	0	0	215	13000008_2786;13000002_86000
223	15601	15800	2786	86000	0	0	0	0	215	13000008_2786;13000002_86000
224	15801	16000	2773	85600	0	0	0	0	214	13000008_2773;13000002_85600
225	16001	16200	2760	85200	0	0	0	0	213	13000008_2760;13000002_85200
226	16201	16400	2760	85200	0	0	0	0	213	13000008_2760;13000002_85200
227	16401	16600	2748	84800	0	0	0	0	212	13000008_2748;13000002_84800
228	16601	16800	2735	84400	0	0	0	0	211	13000008_2735;13000002_84400
229	16801	17000	2735	84400	0	0	0	0	211	13000008_2735;13000002_84400
230	17001	17200	2722	84000	0	0	0	0	210	13000008_2722;13000002_84000
231	17201	17400	2709	83600	0	0	0	0	209	13000008_2709;13000002_83600
232	17401	17600	2709	83600	0	0	0	0	209	13000008_2709;13000002_83600
233	17601	17800	2696	83200	0	0	0	0	208	13000008_2696;13000002_83200
234	17801	18000	2683	82800	0	0	0	0	207	13000008_2683;13000002_82800
235	18001	18200	2683	82800	0	0	0	0	207	13000008_2683;13000002_82800
236	18201	18400	2670	82400	0	0	0	0	206	13000008_2670;13000002_82400
237	18401	18600	2657	82000	0	0	0	0	205	13000008_2657;13000002_82000
238	18601	18800	2657	82000	0	0	0	0	205	13000008_2657;13000002_82000
239	18801	19000	2644	81600	0	0	0	0	204	13000008_2644;13000002_81600
240	19001	19200	2631	81200	0	0	0	0	203	13000008_2631;13000002_81200
241	19201	19400	2631	81200	0	0	0	0	203	13000008_2631;13000002_81200
242	19401	19600	2618	80800	0	0	0	0	202	13000008_2618;13000002_80800
243	19601	19800	2605	80400	0	0	0	0	201	13000008_2605;13000002_80400
244	19801	20000	2605	80400	0	0	0	0	201	13000008_2605;13000002_80400
245	20001	20200	2592	80000	0	0	0	0	200	13000008_2592;13000002_80000
246	20201	20400	2579	79600	0	0	0	0	199	13000008_2579;13000002_79600
247	20401	20600	2579	79600	0	0	0	0	199	13000008_2579;13000002_79600
248	20601	20800	2566	79200	0	0	0	0	198	13000008_2566;13000002_79200
249	20801	21000	2553	78800	0	0	0	0	197	13000008_2553;13000002_78800
250	21001	21200	2553	78800	0	0	0	0	197	13000008_2553;13000002_78800
251	21201	21400	2540	78400	0	0	0	0	196	13000008_2540;13000002_78400
252	21401	21600	2527	78000	0	0	0	0	195	13000008_2527;13000002_78000
253	21601	21800	2527	78000	0	0	0	0	195	13000008_2527;13000002_78000
254	21801	22000	2514	77600	0	0	0	0	194	13000008_2514;13000002_77600
255	22001	22200	2501	77200	0	0	0	0	193	13000008_2501;13000002_77200
256	22201	22400	2501	77200	0	0	0	0	193	13000008_2501;13000002_77200
257	22401	22600	2488	76800	0	0	0	0	192	13000008_2488;13000002_76800
258	22601	22800	2475	76400	0	0	0	0	191	13000008_2475;13000002_76400
259	22801	23000	2475	76400	0	0	0	0	191	13000008_2475;13000002_76400
260	23001	23200	2462	76000	0	0	0	0	190	13000008_2462;13000002_76000
261	23201	23400	2449	75600	0	0	0	0	189	13000008_2449;13000002_75600
262	23401	23600	2449	75600	0	0	0	0	189	13000008_2449;13000002_75600
263	23601	23800	2436	75200	0	0	0	0	188	13000008_2436;13000002_75200
264	23801	24000	2424	74800	0	0	0	0	187	13000008_2424;13000002_74800
265	24001	24200	2424	74800	0	0	0	0	187	13000008_2424;13000002_74800
266	24201	24400	2411	74400	0	0	0	0	186	13000008_2411;13000002_74400
267	24401	24600	2398	74000	0	0	0	0	185	13000008_2398;13000002_74000
268	24601	24800	2398	74000	0	0	0	0	185	13000008_2398;13000002_74000
269	24801	25000	2385	73600	0	0	0	0	184	13000008_2385;13000002_73600
270	25001	25200	2372	73200	0	0	0	0	183	13000008_2372;13000002_73200
271	25201	25400	2372	73200	0	0	0	0	183	13000008_2372;13000002_73200
272	25401	25600	2359	72800	0	0	0	0	182	13000008_2359;13000002_72800
273	25601	25800	2346	72400	0	0	0	0	181	13000008_2346;13000002_72400
274	25801	26000	2346	72400	0	0	0	0	181	13000008_2346;13000002_72400
275	26001	26200	2333	72000	0	0	0	0	180	13000008_2333;13000002_72000
276	26201	26400	2320	71600	0	0	0	0	179	13000008_2320;13000002_71600
277	26401	26600	2320	71600	0	0	0	0	179	13000008_2320;13000002_71600
278	26601	26800	2307	71200	0	0	0	0	178	13000008_2307;13000002_71200
279	26801	27000	2294	70800	0	0	0	0	177	13000008_2294;13000002_70800
280	27001	27200	2294	70800	0	0	0	0	177	13000008_2294;13000002_70800
281	27201	27400	2281	70400	0	0	0	0	176	13000008_2281;13000002_70400
282	27401	27600	2268	70000	0	0	0	0	175	13000008_2268;13000002_70000
283	27601	27800	2268	70000	0	0	0	0	175	13000008_2268;13000002_70000
284	27801	28000	2255	69600	0	0	0	0	174	13000008_2255;13000002_69600
285	28001	28200	2242	69200	0	0	0	0	173	13000008_2242;13000002_69200
286	28201	28400	2242	69200	0	0	0	0	173	13000008_2242;13000002_69200
287	28401	28600	2229	68800	0	0	0	0	172	13000008_2229;13000002_68800
288	28601	28800	2216	68400	0	0	0	0	171	13000008_2216;13000002_68400
289	28801	29000	2216	68400	0	0	0	0	171	13000008_2216;13000002_68400
290	29001	29200	2203	68000	0	0	0	0	170	13000008_2203;13000002_68000
291	29201	29400	2190	67600	0	0	0	0	169	13000008_2190;13000002_67600
292	29401	29600	2190	67600	0	0	0	0	169	13000008_2190;13000002_67600
293	29601	29800	2177	67200	0	0	0	0	168	13000008_2177;13000002_67200
294	29801	30000	2164	66800	0	0	0	0	167	13000008_2164;13000002_66800
295	30001	30200	2164	66800	0	0	0	0	167	13000008_2164;13000002_66800
296	30201	30400	2151	66400	0	0	0	0	166	13000008_2151;13000002_66400
297	30401	30600	2138	66000	0	0	0	0	165	13000008_2138;13000002_66000
298	30601	30800	2138	66000	0	0	0	0	165	13000008_2138;13000002_66000
299	30801	31000	2125	65600	0	0	0	0	164	13000008_2125;13000002_65600
300	31001	31200	2112	65200	0	0	0	0	163	13000008_2112;13000002_65200
301	31201	31400	2112	65200	0	0	0	0	163	13000008_2112;13000002_65200
302	31401	31600	2100	64800	0	0	0	0	162	13000008_2100;13000002_64800
303	31601	31800	2087	64400	0	0	0	0	161	13000008_2087;13000002_64400
304	31801	32000	2087	64400	0	0	0	0	161	13000008_2087;13000002_64400
305	32001	32200	2074	64000	0	0	0	0	160	13000008_2074;13000002_64000
306	32201	32400	2061	63600	0	0	0	0	159	13000008_2061;13000002_63600
307	32401	32600	2061	63600	0	0	0	0	159	13000008_2061;13000002_63600
308	32601	32800	2048	63200	0	0	0	0	158	13000008_2048;13000002_63200
309	32801	33000	2035	62800	0	0	0	0	157	13000008_2035;13000002_62800
310	33001	33200	2035	62800	0	0	0	0	157	13000008_2035;13000002_62800
311	33201	33400	2022	62400	0	0	0	0	156	13000008_2022;13000002_62400
312	33401	33600	2009	62000	0	0	0	0	155	13000008_2009;13000002_62000
313	33601	33800	2009	62000	0	0	0	0	155	13000008_2009;13000002_62000
314	33801	34000	1996	61600	0	0	0	0	154	13000008_1996;13000002_61600
315	34001	34200	1983	61200	0	0	0	0	153	13000008_1983;13000002_61200
316	34201	34400	1983	61200	0	0	0	0	153	13000008_1983;13000002_61200
317	34401	34600	1970	60800	0	0	0	0	152	13000008_1970;13000002_60800
318	34601	34800	1957	60400	0	0	0	0	151	13000008_1957;13000002_60400
319	34801	35000	1957	60400	0	0	0	0	151	13000008_1957;13000002_60400
320	35001	35200	1944	60000	0	0	0	0	150	13000008_1944;13000002_60000
321	35201	35400	1931	59600	0	0	0	0	149	13000008_1931;13000002_59600
322	35401	35600	1931	59600	0	0	0	0	149	13000008_1931;13000002_59600
323	35601	35800	1918	59200	0	0	0	0	148	13000008_1918;13000002_59200
324	35801	36000	1905	58800	0	0	0	0	147	13000008_1905;13000002_58800
325	36001	36200	1905	58800	0	0	0	0	147	13000008_1905;13000002_58800
326	36201	36400	1892	58400	0	0	0	0	146	13000008_1892;13000002_58400
327	36401	36600	1879	58000	0	0	0	0	145	13000008_1879;13000002_58000
328	36601	36800	1879	58000	0	0	0	0	145	13000008_1879;13000002_58000
329	36801	37000	1866	57600	0	0	0	0	144	13000008_1866;13000002_57600
330	37001	37200	1853	57200	0	0	0	0	143	13000008_1853;13000002_57200
331	37201	37400	1853	57200	0	0	0	0	143	13000008_1853;13000002_57200
332	37401	37600	1840	56800	0	0	0	0	142	13000008_1840;13000002_56800
333	37601	37800	1827	56400	0	0	0	0	141	13000008_1827;13000002_56400
334	37801	38000	1827	56400	0	0	0	0	141	13000008_1827;13000002_56400
335	38001	38200	1814	56000	0	0	0	0	140	13000008_1814;13000002_56000
336	38201	38400	1801	55600	0	0	0	0	139	13000008_1801;13000002_55600
337	38401	38600	1801	55600	0	0	0	0	139	13000008_1801;13000002_55600
338	38601	38800	1788	55200	0	0	0	0	138	13000008_1788;13000002_55200
339	38801	39000	1776	54800	0	0	0	0	137	13000008_1776;13000002_54800
340	39001	39200	1776	54800	0	0	0	0	137	13000008_1776;13000002_54800
341	39201	39400	1763	54400	0	0	0	0	136	13000008_1763;13000002_54400
342	39401	39600	1750	54000	0	0	0	0	135	13000008_1750;13000002_54000
343	39601	39800	1750	54000	0	0	0	0	135	13000008_1750;13000002_54000
344	39801	40000	1737	53600	0	0	0	0	134	13000008_1737;13000002_53600
